Fondsposition per,"17.Sept.2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"GFI","GOLD FIELDS","Materialien","Aktien","127.932.819,14","0,28","127.932.819,14","2.944.339,00","43,45","Südafrika","Johannesburg Stock Exchange","ZAR"
"1211","BYD H","Zyklische Konsumgüter ","Aktien","126.098.410,58","0,27","126.098.410,58","12.191.300,00","10,34","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"GMEXICOB","GRUPO MEXICO B","Materialien","Aktien","125.906.769,91","0,27","125.906.769,91","9.972.039,00","12,63","Mexiko","Bolsa Mexicana De Valores","MXN"
"2891","CTBC FINANCIAL HOLDING","Finanzwesen","Aktien","124.480.979,37","0,27","124.480.979,37","55.741.079,00","2,23","Taiwan","Taiwan Stock Exchange","TWD"
"PETR4","PETROLEO BRASILEIRO PREF SA","Energie","Aktien","123.015.117,23","0,27","123.015.117,23","13.050.712,00","9,43","Brasilien","XBSP","BRL"
"2222","SAUDI ARABIAN OIL","Energie","Aktien","122.276.794,61","0,26","122.276.794,61","17.970.766,00","6,80","Saudi-Arabien","Saudi Stock Exchange","SAR"
"1303","NAN YA PLASTICS CORP","Materialien","Aktien","117.080.279,15","0,25","117.080.279,15","15.817.000,00","7,40","Taiwan","Taiwan Stock Exchange","TWD"
"005380","HYUNDAI MOTOR","Zyklische Konsumgüter ","Aktien","115.389.414,83","0,25","115.389.414,83","439.195,00","262,73","Korea","Korea Exchange (Stock Market)","KRW"
"NPN","NASPERS LIMITED CLASS N","Zyklische Konsumgüter ","Aktien","112.096.153,55","0,24","112.096.153,55","2.544.334,00","44,06","Südafrika","Johannesburg Stock Exchange","ZAR"
"PETR3","PETROLEO BRASILEIRO SA PETROBRAS","Energie","Aktien","111.688.267,91","0,24","111.688.267,91","10.666.333,00","10,47","Brasilien","XBSP","BRL"
"INFY","INFOSYS","IT","Aktien","111.229.859,19","0,24","111.229.859,19","10.080.403,00","11,03","Indien","National Stock Exchange Of India","INR"
"055550","SHINHAN FINANCIAL GROUP","Finanzwesen","Aktien","111.205.551,12","0,24","111.205.551,12","1.356.109,00","82,00","Korea","Korea Exchange (Stock Market)","KRW"
"2882","CATHAY FINANCIAL HOLDING","Finanzwesen","Aktien","109.995.121,84","0,24","109.995.121,84","31.311.781,00","3,51","Taiwan","Taiwan Stock Exchange","TWD"
"992","LENOVO GROUP","IT","Aktien","109.674.920,50","0,24","109.674.920,50","25.072.000,00","4,37","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"OTP","OTP BANK","Finanzwesen","Aktien","108.548.242,86","0,23","108.548.242,86","731.465,00","148,40","Ungarn","Budapest Stock Exchange","HUF"
"3017","ASIA VITAL COMPONENTS","IT","Aktien","106.588.536,19","0,23","106.588.536,19","1.066.973,00","99,90","Taiwan","Taiwan Stock Exchange","TWD"
