Fondsposition per,"17.Sept.2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"000100","YUHAN","Gesundheitsversorgung","Aktien","11.226.772,34","0,02","11.226.772,34","200.148,00","56,09","Korea","Korea Exchange (Stock Market)","KRW"
"RAIL3","RUMO SA","Industrie","Aktien","11.228.229,64","0,02","11.228.229,64","3.875.806,00","2,90","Brasilien","XBSP","BRL"
"5110","SAUDI ENERGY","Versorger","Aktien","11.219.618,36","0,02","11.219.618,36","2.612.926,00","4,29","Saudi-Arabien","Saudi Stock Exchange","SAR"
"IOICORP","IOI CORPORATION","Nichtzyklische Konsumgüter","Aktien","11.191.753,60","0,02","11.191.753,60","9.439.300,00","1,19","Malaysia","Bursa Malaysia","MYR"
"SBID","STATE BANK OF INDIA REG S INDIA GD","Finanzwesen","Aktien","11.152.711,20","0,02","11.152.711,20","106.419,00","104,80","Indien","London Stock Exchange","USD"
"GRT","GROWTHPOINT PROP LTD SHS","Immobilien","Aktien","11.138.362,56","0,02","11.138.362,56","11.310.444,00","0,98","Südafrika","Johannesburg Stock Exchange","ZAR"
"TOTS3","TOTVS","IT","Aktien","11.109.460,35","0,02","11.109.460,35","1.653.450,00","6,72","Brasilien","XBSP","BRL"
"HINDPETRO","HINDUSTAN PETROLEUM CORP LTD","Energie","Aktien","11.095.693,78","0,02","11.095.693,78","3.036.204,00","3,65","Indien","National Stock Exchange Of India","INR"
"9626","BILIBILI INC","Kommunikation","Aktien","11.096.202,53","0,02","11.096.202,53","759.659,00","14,61","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1605","WALSIN LIHWA","Industrie","Aktien","11.050.368,15","0,02","11.050.368,15","9.483.536,00","1,17","Taiwan","Taiwan Stock Exchange","TWD"
"LTM","LTM LTD","IT","Aktien","11.025.781,05","0,02","11.025.781,05","247.998,00","44,46","Indien","National Stock Exchange Of India","INR"
"601166","INDUSTRIAL BANK A","Finanzwesen","Aktien","11.028.746,07","0,02","11.028.746,07","4.166.070,00","2,65","China","Shanghai Stock Exchange","CNY"
"2347","SYNNEX TECHNOLOGY INTERNATIONAL CO","IT","Aktien","11.023.525,44","0,02","11.023.525,44","3.926.900,00","2,81","Taiwan","Taiwan Stock Exchange","TWD"
"SUNDARMFIN","SUNDARAM FINANCE LTD","Finanzwesen","Aktien","11.009.335,56","0,02","11.009.335,56","226.518,00","48,60","Indien","National Stock Exchange Of India","INR"
"3264","ARDENTEC CORP","IT","Aktien","11.002.220,09","0,02","11.002.220,09","1.434.676,00","7,67","Taiwan","Gretai Securities Market","TWD"
"1209","CHINA RESOURCES MIXC LIFESTYLE SER","Immobilien","Aktien","10.975.580,10","0,02","10.975.580,10","2.314.800,00","4,74","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SIEMENS","SIEMENS LTD","Industrie","Aktien","10.929.066,70","0,02","10.929.066,70","278.599,00","39,23","Indien","National Stock Exchange Of India","INR"
"QGTS","QATAR GAS TRANSPORT COMPANY LTD","Energie","Aktien","10.907.443,87","0,02","10.907.443,87","9.674.544,00","1,13","Qatar","Qatar Exchange","QAR"
"000333","MIDEA GROUP A","Zyklische Konsumgüter ","Aktien","10.876.761,84","0,02","10.876.761,84","857.581,00","12,68","China","Shenzhen Stock Exchange","CNY"
"FMTY14","FIBRA MTY SAPI REIT","Immobilien","Aktien","10.853.720,86","0,02","10.853.720,86","13.237.996,00","0,82","Mexiko","Bolsa Mexicana De Valores","MXN"
"EMAARDEV","EMAAR DEVELOPMENT","Immobilien","Aktien","10.846.967,07","0,02","10.846.967,07","2.986.453,00","3,63","Ver. Arabische Emirate","Dubai Financial Market","AED"
"8210","BUPA ARABIA","Finanzwesen","Aktien","10.837.455,72","0,02","10.837.455,72","250.992,00","43,18","Saudi-Arabien","Saudi Stock Exchange","SAR"
"1519","FORTUNE ELECTRIC","Industrie","Aktien","10.827.933,19","0,02","10.827.933,19","489.676,00","22,11","Taiwan","Taiwan Stock Exchange","TWD"
"3808","SINOTRUK (HONG KONG) LTD","Industrie","Aktien","10.815.268,33","0,02","10.815.268,33","2.236.500,00","4,84","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ADNOCDIST","ABU DHABI NATIONAL OIL COMPANY FOR","Zyklische Konsumgüter ","Aktien","10.782.134,05","0,02","10.782.134,05","9.730.015,00","1,11","Ver. Arabische Emirate","Abu Dhabi Securities Exchange","AED"
"090430","AMOREPACIFIC","Nichtzyklische Konsumgüter","Aktien","10.756.865,27","0,02","10.756.865,27","103.859,00","103,57","Korea","Korea Exchange (Stock Market)","KRW"
"6805","FOSITEK","IT","Aktien","10.750.725,32","0,02","10.750.725,32","164.000,00","65,55","Taiwan","Taiwan Stock Exchange","TWD"
"6881","CHINA GALAXY SECURITIES LTD H","Finanzwesen","Aktien","10.727.151,99","0,02","10.727.151,99","11.162.000,00","0,96","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"OMU","OLD MUTUAL LIMITED","Finanzwesen","Aktien","10.727.706,72","0,02","10.727.706,72","12.483.045,00","0,86","Südafrika","Johannesburg Stock Exchange","ZAR"
"BAJAJHLDNG","BAJAJ HOLDINGS AND INVESTMENT LTD","Finanzwesen","Aktien","10.685.050,79","0,02","10.685.050,79","93.106,00","114,76","Indien","National Stock Exchange Of India","INR"
"5483","SINO-AMERICAN SILICON PRODUCTS","IT","Aktien","10.674.821,61","0,02","10.674.821,61","1.870.000,00","5,71","Taiwan","Gretai Securities Market","TWD"
"2268","WUXI XDC CAYMAN INC","Gesundheitsversorgung","Aktien","10.672.060,31","0,02","10.672.060,31","1.094.500,00","9,75","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"MARK","MASRAF AL RAYAN","Finanzwesen","Aktien","10.611.173,42","0,02","10.611.173,42","19.721.941,00","0,54","Qatar","Qatar Exchange","QAR"
"INR","INR CASH","Cash und/oder Derivate","Geldmarkt","10.556.765,41","0,02","10.556.765,41","1.012.789.682,00","1,04","Indien","-","INR"
"161390","HANKOOK TIRE & TECHNOLOGY LTD","Zyklische Konsumgüter ","Aktien","10.555.874,14","0,02","10.555.874,14","247.615,00","42,63","Korea","Korea Exchange (Stock Market)","KRW"
"1138","COSCO SHIPPING ENERGY TRANSPORTATI","Energie","Aktien","10.552.685,88","0,02","10.552.685,88","4.292.000,00","2,46","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"AIRARABIA","AIR ARABIA","Industrie","Aktien","10.461.202,03","0,02","10.461.202,03","7.777.819,00","1,35","Ver. Arabische Emirate","Dubai Financial Market","AED"
"267270","HD CONSTRUCTION EQUIPMENT LTD","Industrie","Aktien","10.425.911,92","0,02","10.425.911,92","101.372,00","102,85","Korea","Korea Exchange (Stock Market)","KRW"
"SDG","SD GUTHRIE","Nichtzyklische Konsumgüter","Aktien","10.416.901,68","0,02","10.416.901,68","6.777.600,00","1,54","Malaysia","Bursa Malaysia","MYR"
"MTM","MOMENTUM GROUP","Finanzwesen","Aktien","10.388.866,60","0,02","10.388.866,60","4.424.107,00","2,35","Südafrika","Johannesburg Stock Exchange","ZAR"
"2049","HIWIN TECHNOLOGIES CORP","Industrie","Aktien","10.333.466,20","0,02","10.333.466,20","980.526,00","10,54","Taiwan","Taiwan Stock Exchange","TWD"
"8358","CO-TECH DEVELOPMENT CORP","IT","Aktien","10.325.664,55","0,02","10.325.664,55","688.000,00","15,01","Taiwan","Gretai Securities Market","TWD"
"MONET","MONETA MONEY BNK","Finanzwesen","Aktien","10.258.812,12","0,02","10.258.812,12","1.098.113,00","9,34","Tschechien","Prague Stock Exchange","CZK"
"LODHA","LODHA DEVELOPERS LTD","Immobilien","Aktien","10.261.040,51","0,02","10.261.040,51","892.411,00","11,50","Indien","National Stock Exchange Of India","INR"
"BBNI","BANK NEGARA INDONESIA","Finanzwesen","Aktien","10.257.192,45","0,02","10.257.192,45","48.653.100,00","0,21","Indonesien","Indonesia Stock Exchange","IDR"
"TPE","TAURON POLSKA ENERGIA","Versorger","Aktien","10.222.536,71","0,02","10.222.536,71","4.210.331,00","2,43","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"GROWW","BILLIONBRAINS GARAGE VENTURES LTD","Finanzwesen","Aktien","10.168.005,78","0,02","10.168.005,78","5.204.295,00","1,95","Indien","National Stock Exchange Of India","INR"
"3260","ADATA TECHNOLOGY LTD","IT","Aktien","10.162.498,55","0,02","10.162.498,55","820.268,00","12,39","Taiwan","Gretai Securities Market","TWD"
"ZYDUSLIFE","ZYDUS LIFESCIENCES LTD","Gesundheitsversorgung","Aktien","10.153.221,77","0,02","10.153.221,77","858.140,00","11,83","Indien","National Stock Exchange Of India","INR"
"JBS","JBS N V NV CLASS A","Nichtzyklische Konsumgüter","Aktien","10.145.800,62","0,02","10.145.800,62","841.277,00","12,06","Brasilien","New York Stock Exchange Inc.","USD"
"TIINDIA","TUBE INVESTMENTS OF INDIA LTD","Zyklische Konsumgüter ","Aktien","10.126.536,56","0,02","10.126.536,56","373.832,00","27,09","Indien","National Stock Exchange Of India","INR"
"ADANIENSOL","ADANI ENERGY SOLUTIONS LTD","Versorger","Aktien","10.127.026,14","0,02","10.127.026,14","700.578,00","14,46","Indien","National Stock Exchange Of India","INR"
"KEI","KEI INDUSTRIES LTD","Industrie","Aktien","10.117.199,22","0,02","10.117.199,22","212.855,00","47,53","Indien","National Stock Exchange Of India","INR"
"222800","SIMMTECH","IT","Aktien","10.098.353,85","0,02","10.098.353,85","108.833,00","92,79","Korea","Korea Exchange (Kosdaq)","KRW"
"1988","CHINA MINSHENG BANKING H","Finanzwesen","Aktien","10.068.479,78","0,02","10.068.479,78","22.096.159,00","0,46","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ICICIGI","ICICI LOMBARD GENERAL INSURANCE CO","Finanzwesen","Aktien","10.060.451,44","0,02","10.060.451,44","649.206,00","15,50","Indien","National Stock Exchange Of India","INR"
"CLS","CLICKS GROUP","Nichtzyklische Konsumgüter","Aktien","10.049.469,99","0,02","10.049.469,99","792.437,00","12,68","Südafrika","Johannesburg Stock Exchange","ZAR"
"2615","WAN HAI LINES","Industrie","Aktien","10.000.583,47","0,02","10.000.583,47","2.646.005,00","3,78","Taiwan","Taiwan Stock Exchange","TWD"
"NATIONALUM","NATIONAL ALUMINIUM CO LTD","Materialien","Aktien","9.964.634,95","0,02","9.964.634,95","2.687.608,00","3,71","Indien","National Stock Exchange Of India","INR"
"IDFCFIRSTB","IDFC FIRST BANK LTD","Finanzwesen","Aktien","9.938.475,17","0,02","9.938.475,17","11.044.509,00","0,90","Indien","National Stock Exchange Of India","INR"
"353200","DAEDUCKELECTRONICS LTD","IT","Aktien","9.914.538,70","0,02","9.914.538,70","136.032,00","72,88","Korea","Korea Exchange (Stock Market)","KRW"
"MANKIND","MANKIND PHARMA LTD","Gesundheitsversorgung","Aktien","9.915.358,44","0,02","9.915.358,44","413.589,00","23,97","Indien","National Stock Exchange Of India","INR"
"NAVINFLUOR","NAVIN FLUORINE INTERNATIONAL LTD","Materialien","Aktien","9.910.096,26","0,02","9.910.096,26","115.663,00","85,68","Indien","National Stock Exchange Of India","INR"
"8010","THE COOPERATIVE INSURANCE","Finanzwesen","Aktien","9.910.491,57","0,02","9.910.491,57","401.172,00","24,70","Saudi-Arabien","Saudi Stock Exchange","SAR"
"3706","MITAC HOLDINGS CORP","IT","Aktien","9.900.453,43","0,02","9.900.453,43","3.921.133,00","2,52","Taiwan","Taiwan Stock Exchange","TWD"
"GEKTERNA","GEK TERNA","Industrie","Aktien","9.891.075,73","0,02","9.891.075,73","200.826,00","49,25","Griechenland","Athens Exchange S.A. Cash Market","EUR"
"PCHEM","PETRONAS CHEMICALS GROUP","Materialien","Aktien","9.859.551,60","0,02","9.859.551,60","8.315.700,00","1,19","Malaysia","Bursa Malaysia","MYR"
"MOTV3","MOTIVA INFRAESTRUTURA DE MOBILIDAD","Industrie","Aktien","9.836.199,16","0,02","9.836.199,16","3.150.669,00","3,12","Brasilien","XBSP","BRL"
"005385","HYUNDAI MOTOR S1 PREF","Zyklische Konsumgüter ","Aktien","9.819.452,39","0,02","9.819.452,39","78.513,00","125,07","Korea","Korea Exchange (Stock Market)","KRW"
"5289","INNODISK CORP","IT","Aktien","9.770.083,27","0,02","9.770.083,27","247.218,00","39,52","Taiwan","Gretai Securities Market","TWD"
"TBS","TIGER BRANDS","Nichtzyklische Konsumgüter","Aktien","9.772.182,28","0,02","9.772.182,28","596.820,00","16,37","Südafrika","Johannesburg Stock Exchange","ZAR"
"3888","KINGSOFT","Kommunikation","Aktien","9.753.088,65","0,02","9.753.088,65","3.183.000,00","3,06","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"IPCALAB","IPCA LABORATORIES LTD","Gesundheitsversorgung","Aktien","9.721.591,13","0,02","9.721.591,13","473.362,00","20,54","Indien","National Stock Exchange Of India","INR"
"322","TINGYI (CAYMAN ISLANDS) HOLDINGS","Nichtzyklische Konsumgüter","Aktien","9.713.517,68","0,02","9.713.517,68","6.442.000,00","1,51","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2455","VISUAL PHOTONICS EPITAXY","IT","Aktien","9.698.877,06","0,02","9.698.877,06","579.072,00","16,75","Taiwan","Taiwan Stock Exchange","TWD"
"1929","CHOW TAI FOOK JEWELLERY GROUP LTD","Zyklische Konsumgüter ","Aktien","9.694.911,19","0,02","9.694.911,19","6.896.000,00","1,41","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"138930","BNK FINANCIAL GROUP INC","Finanzwesen","Aktien","9.697.419,00","0,02","9.697.419,00","852.318,00","11,38","Korea","Korea Exchange (Stock Market)","KRW"
"ZAB","ZABKA GROUP SOCIETE ANONYME SA","Nichtzyklische Konsumgüter","Aktien","9.677.245,75","0,02","9.677.245,75","1.164.616,00","8,31","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"601211","GUOTAI HAITONG SECURITIES LTD A","Finanzwesen","Aktien","9.670.204,16","0,02","9.670.204,16","3.743.575,00","2,58","China","Shanghai Stock Exchange","CNY"
"2353","ACER","IT","Aktien","9.660.143,97","0,02","9.660.143,97","9.505.850,00","1,02","Taiwan","Taiwan Stock Exchange","TWD"
"ENRIN","SIEMENS ENERGY INDIA LTD","Industrie","Aktien","9.588.423,89","0,02","9.588.423,89","295.870,00","32,41","Indien","National Stock Exchange Of India","INR"
"8996","KAORI HEAT TREATMENT LTD","Industrie","Aktien","9.582.059,12","0,02","9.582.059,12","235.000,00","40,77","Taiwan","Taiwan Stock Exchange","TWD"
"3324","AURAS TECHNOLOGY LTD","IT","Aktien","9.556.966,99","0,02","9.556.966,99","220.000,00","43,44","Taiwan","Gretai Securities Market","TWD"
"ADNOCLS","ADNOC LOGISTICS & SERVICES PLC","Energie","Aktien","9.511.366,41","0,02","9.511.366,41","4.740.003,00","2,01","Ver. Arabische Emirate","Abu Dhabi Securities Exchange","AED"
"VESTA*","CORPORACION INMOBILIARIA VESTA","Immobilien","Aktien","9.494.604,85","0,02","9.494.604,85","2.842.130,00","3,34","Mexiko","Bolsa Mexicana De Valores","MXN"
"011200","HMM LTD","Industrie","Aktien","9.455.145,66","0,02","9.455.145,66","629.576,00","15,02","Korea","Korea Exchange (Stock Market)","KRW"
"300394","SUZHOU TFC OPTICAL COMMUNICATIONIN","IT","Aktien","9.444.862,07","0,02","9.444.862,07","228.085,00","41,41","China","Shenzhen Stock Exchange","CNY"
"UPL","UPL","Materialien","Aktien","9.439.767,67","0,02","9.439.767,67","1.632.497,00","5,78","Indien","National Stock Exchange Of India","INR"
"KLBN11","KLABIN UNITS SA","Materialien","Aktien","9.441.215,23","0,02","9.441.215,23","2.480.327,00","3,81","Brasilien","XBSP","BRL"
"039490","KIWOOM SECURITIES","Finanzwesen","Aktien","9.421.477,94","0,02","9.421.477,94","49.495,00","190,35","Korea","Korea Exchange (Stock Market)","KRW"
"ORDS","OOREDOO","Kommunikation","Aktien","9.416.853,84","0,02","9.416.853,84","2.725.498,00","3,46","Qatar","Qatar Exchange","QAR"
"6531","AP MEMORY TECHNOLOGY","IT","Aktien","9.407.041,48","0,02","9.407.041,48","326.000,00","28,86","Taiwan","Taiwan Stock Exchange","TWD"
"AXIA7","AXIA ENERGIA PRF SA","Versorger","Aktien","9.380.857,40","0,02","9.380.857,40","870.883,00","10,77","Brasilien","XBSP","BRL"
"002384","SUZHOU DONGSHAN PRECISION MANUFACT","IT","Aktien","9.382.957,84","0,02","9.382.957,84","325.080,00","28,86","China","Shenzhen Stock Exchange","CNY"
"144","CHINA MERCHANTS PORT HOLDINGS LTD","Industrie","Aktien","9.368.238,40","0,02","9.368.238,40","4.406.470,00","2,13","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"009830","HANWHA SOLUTIONS CORP","Materialien","Aktien","9.266.418,56","0,02","9.266.418,56","450.808,00","20,56","Korea","Korea Exchange (Stock Market)","KRW"
"3406","GENIUS ELECTRONIC OPTICAL LTD","IT","Aktien","9.262.456,36","0,02","9.262.456,36","306.021,00","30,27","Taiwan","Taiwan Stock Exchange","TWD"
"6886","HUATAI SECURITIES H","Finanzwesen","Aktien","9.257.148,10","0,02","9.257.148,10","4.346.400,00","2,13","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TIMS3","TIM","Kommunikation","Aktien","9.236.505,24","0,02","9.236.505,24","2.445.232,00","3,78","Brasilien","XBSP","BRL"
"MRF","MRF LTD","Zyklische Konsumgüter ","Aktien","9.238.282,11","0,02","9.238.282,11","7.114,00","1.298,61","Indien","National Stock Exchange Of India","INR"
"DIC","DUBAI INVESTMENT","Industrie","Aktien","9.215.085,61","0,02","9.215.085,61","8.906.744,00","1,03","Ver. Arabische Emirate","Dubai Financial Market","AED"
"9880","UBTECH ROBOTICS CORP LTD H","Industrie","Aktien","9.203.900,25","0,02","9.203.900,25","910.600,00","10,11","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"QNNS","QATAR NAVIGATION","Industrie","Aktien","9.162.994,03","0,02","9.162.994,03","3.280.478,00","2,79","Qatar","Qatar Exchange","QAR"
"MISC","MISC","Industrie","Aktien","9.164.096,12","0,02","9.164.096,12","4.660.500,00","1,97","Malaysia","Bursa Malaysia","MYR"
"1787","SHANDONG GOLD MINING LTD H","Materialien","Aktien","9.149.949,33","0,02","9.149.949,33","3.081.000,00","2,97","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"MRP","MR PRICE GROUP LTD","Zyklische Konsumgüter ","Aktien","9.143.845,65","0,02","9.143.845,65","910.049,00","10,05","Südafrika","Johannesburg Stock Exchange","ZAR"
"COPEC","EMPRESAS COPEC SA","Zyklische Konsumgüter ","Aktien","9.138.548,96","0,02","9.138.548,96","1.361.189,00","6,71","Chile","Santiago Stock Exchange","CLP"
"BPI","BANK OF THE PHILIPPINE ISLANDS","Finanzwesen","Aktien","9.130.582,61","0,02","9.130.582,61","5.728.071,00","1,59","Philippinen","Philippine Stock Exchange Inc.","PHP"
"ATHERENERG","ATHER ENERGY LTD","Zyklische Konsumgüter ","Aktien","9.116.269,97","0,02","9.116.269,97","564.253,00","16,16","Indien","National Stock Exchange Of India","INR"
"GODREJPROP","GODREJ PROPERTIES LTD","Immobilien","Aktien","9.077.507,34","0,02","9.077.507,34","518.933,00","17,49","Indien","National Stock Exchange Of India","INR"
"MTELEKOM","MAGYAR TELEKOM","Kommunikation","Aktien","9.078.045,21","0,02","9.078.045,21","1.106.409,00","8,20","Ungarn","Budapest Stock Exchange","HUF"
"RHBBANK","RHB BANK","Finanzwesen","Aktien","9.071.685,59","0,02","9.071.685,59","4.761.183,00","1,91","Malaysia","Bursa Malaysia","MYR"
"300059","EAST MONEY INFORMATION LTD A","Finanzwesen","Aktien","9.027.360,55","0,02","9.027.360,55","3.345.962,00","2,70","China","Shenzhen Stock Exchange","CNY"
"6285","WISTRON NEWEB","IT","Aktien","8.990.385,84","0,02","8.990.385,84","1.265.501,00","7,10","Taiwan","Taiwan Stock Exchange","TWD"
"180640","HANJIN KAL","Zyklische Konsumgüter ","Aktien","8.975.898,38","0,02","8.975.898,38","88.900,00","100,97","Korea","Korea Exchange (Stock Market)","KRW"
"914","ANHUI CONCH CEMENT H","Materialien","Aktien","8.951.067,15","0,02","8.951.067,15","4.319.000,00","2,07","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"GENTERA*","GENTERA SAB DE CV","Finanzwesen","Aktien","8.918.119,26","0,02","8.918.119,26","4.132.102,00","2,16","Mexiko","Bolsa Mexicana De Valores","MXN"
"SMPH","SM PRIME HOLDINGS","Immobilien","Aktien","8.879.131,59","0,02","8.879.131,59","32.385.600,00","0,27","Philippinen","Philippine Stock Exchange Inc.","PHP"
"1898","CHINA COAL ENERGY LTD H","Energie","Aktien","8.863.050,23","0,02","8.863.050,23","6.517.000,00","1,36","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ALOS3","ALLOS SA","Immobilien","Aktien","8.864.086,63","0,02","8.864.086,63","1.615.855,00","5,49","Brasilien","XBSP","BRL"
"NMDC","NMDC LTD","Materialien","Aktien","8.850.484,38","0,02","8.850.484,38","10.508.581,00","0,84","Indien","National Stock Exchange Of India","INR"
"ALWN","ALLWYN AG","Zyklische Konsumgüter ","Aktien","8.844.455,05","0,02","8.844.455,05","605.362,00","14,61","Griechenland","Athens Exchange S.A. Cash Market","EUR"
"1099","SINOPHARM GROUP LTD H","Gesundheitsversorgung","Aktien","8.840.624,29","0,02","8.840.624,29","4.614.800,00","1,92","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PNB","PUNJAB NATIONAL BANK","Finanzwesen","Aktien","8.837.325,37","0,02","8.837.325,37","7.279.393,00","1,21","Indien","National Stock Exchange Of India","INR"
"UNIONBANK","UNION BANK OF INDIA LTD","Finanzwesen","Aktien","8.837.696,87","0,02","8.837.696,87","4.760.888,00","1,86","Indien","National Stock Exchange Of India","INR"
"028300","HLB LTD","Gesundheitsversorgung","Aktien","8.829.998,91","0,02","8.829.998,91","381.249,00","23,16","Korea","Korea Exchange (Kosdaq)","KRW"
"2812","TAICHUNG COMMERCIAL BANK","Finanzwesen","Aktien","8.828.833,64","0,02","8.828.833,64","14.435.143,00","0,61","Taiwan","Taiwan Stock Exchange","TWD"
"OFSS","ORACLE FINANCIAL SERVICES SOFTWARE","IT","Aktien","8.793.470,96","0,02","8.793.470,96","72.601,00","121,12","Indien","National Stock Exchange Of India","INR"
"902","HUANENG POWER INTERNATIONAL INC H","Versorger","Aktien","8.771.647,98","0,02","8.771.647,98","12.202.000,00","0,72","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1303","ELECTRICAL INDUSTRIES","Industrie","Aktien","8.751.065,89","0,02","8.751.065,89","2.134.635,00","4,10","Saudi-Arabien","Saudi Stock Exchange","SAR"
"HTO","HELLENIC TELECOMMUNICATIONS ORGANI","Kommunikation","Aktien","8.753.116,95","0,02","8.753.116,95","384.883,00","22,74","Griechenland","Athens Exchange S.A. Cash Market","EUR"
"BANKBARODA","BANK OF BARODA LTD","Finanzwesen","Aktien","8.754.311,00","0,02","8.754.311,00","3.615.440,00","2,42","Indien","National Stock Exchange Of India","INR"
"277810","RAINBOW ROBOTICS","Industrie","Aktien","8.747.398,04","0,02","8.747.398,04","28.205,00","310,14","Korea","Korea Exchange (Kosdaq)","KRW"
"WARBABANK","WARBABANK","Finanzwesen","Aktien","8.716.472,18","0,02","8.716.472,18","9.846.740,00","0,89","Kuwait","Kuwait Stock Exchange","KWD"
"240810","WONIK IPS LTD","IT","Aktien","8.706.967,76","0,02","8.706.967,76","101.949,00","85,41","Korea","Korea Exchange (Kosdaq)","KRW"
"1519","J&T GLOBAL EXPRESS","Industrie","Aktien","8.697.006,75","0,02","8.697.006,75","7.543.800,00","1,15","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PRESTIGE","PRESTIGE ESTATES PROJECTS","Immobilien","Aktien","8.697.641,09","0,02","8.697.641,09","579.425,00","15,01","Indien","National Stock Exchange Of India","INR"
"VOLTAS","VOLTAS LTD","Industrie","Aktien","8.686.111,37","0,02","8.686.111,37","734.206,00","11,83","Indien","National Stock Exchange Of India","INR"
"2492","WALSIN TECHNOLOGY","IT","Aktien","8.659.460,83","0,02","8.659.460,83","929.580,00","9,32","Taiwan","Taiwan Stock Exchange","TWD"
"CPF.R","CHAROEN POKPHAND FOODS NON-VOTING","Nichtzyklische Konsumgüter","Aktien","8.662.633,50","0,02","8.662.633,50","12.678.600,00","0,68","Thailand","Stock Exchange Of Thailand","THB"
"000990","DB HITEK LTD","IT","Aktien","8.655.392,47","0,02","8.655.392,47","96.054,00","90,11","Korea","Korea Exchange (Stock Market)","KRW"
"BBAJIOO","BANCO DEL BAJIO INSTITUCION DE BAN","Finanzwesen","Aktien","8.629.270,75","0,02","8.629.270,75","2.596.214,00","3,32","Mexiko","Bolsa Mexicana De Valores","MXN"
"REDINGTON","REDINGTON LTD","IT","Aktien","8.620.995,10","0,02","8.620.995,10","2.067.175,00","4,17","Indien","National Stock Exchange Of India","INR"
"BDX","BUDIMEX SA","Industrie","Aktien","8.615.055,44","0,02","8.615.055,44","45.629,00","188,81","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"4300","DAR AL ARKAN REAL ESTATE DEVELOPME","Immobilien","Aktien","8.603.399,41","0,02","8.603.399,41","1.699.194,00","5,06","Saudi-Arabien","Saudi Stock Exchange","SAR"
"ENELCHILE","ENEL CHILE SA","Versorger","Aktien","8.604.880,84","0,02","8.604.880,84","101.083.339,00","0,09","Chile","Santiago Stock Exchange","CLP"
"2474","CATCHER TECHNOLOGY","IT","Aktien","8.599.623,62","0,02","8.599.623,62","1.315.000,00","6,54","Taiwan","Taiwan Stock Exchange","TWD"
"PARAUCO","PARQUE ARAUCO SA","Immobilien","Aktien","8.602.730,15","0,02","8.602.730,15","2.112.632,00","4,07","Chile","Santiago Stock Exchange","CLP"
"INDIANB","INDIAN BANK","Finanzwesen","Aktien","8.575.399,74","0,02","8.575.399,74","978.825,00","8,76","Indien","National Stock Exchange Of India","INR"
"6187","ALL RING TECH","IT","Aktien","8.577.119,11","0,02","8.577.119,11","226.000,00","37,95","Taiwan","Gretai Securities Market","TWD"
"136","CHINA RUYI HOLDINGS","Kommunikation","Aktien","8.566.726,28","0,02","8.566.726,28","45.413.200,00","0,19","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"MALLPLAZA","PLAZA SA","Immobilien","Aktien","8.569.571,50","0,02","8.569.571,50","2.104.489,00","4,07","Chile","Santiago Stock Exchange","CLP"
"323410","KAKAOBANK","Finanzwesen","Aktien","8.558.337,21","0,02","8.558.337,21","571.238,00","14,98","Korea","Korea Exchange (Stock Market)","KRW"
"2027","TA CHEN STAINLESS PIPE LTD","Materialien","Aktien","8.550.068,58","0,02","8.550.068,58","5.787.634,00","1,48","Taiwan","Taiwan Stock Exchange","TWD"
"3006","ELITE SEMICONDUCTOR MICROELECTRONI","IT","Aktien","8.534.289,97","0,02","8.534.289,97","977.000,00","8,74","Taiwan","Taiwan Stock Exchange","TWD"
"600150","CHINA CSSC HOLDINGS LTD A","Industrie","Aktien","8.530.909,36","0,02","8.530.909,36","1.468.166,00","5,81","China","Shanghai Stock Exchange","CNY"
"GBK","GULF BANK","Finanzwesen","Aktien","8.525.678,40","0,02","8.525.678,40","7.555.515,00","1,13","Kuwait","Kuwait Stock Exchange","KWD"
"KTY","GRUPA KETY","Materialien","Aktien","8.513.005,56","0,02","8.513.005,56","25.568,00","332,96","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
