Holdings details

Morningstar Total Stock Market ETF (VTI)


Equity,as of 08/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BBGVT40,News Corp,NWSA,0.02%,Publishing,US,---,"$397,672,910.87","12,949,297"
,BJXMVK2,Tradeweb Markets Inc,TW,0.02%,Financial Exchanges & Data,US,---,"$397,576,596.30","3,691,519"
,BMD6Y84,Rocket Cos Inc,RKT,0.02%,Commercial & Residential Mortgage Finance,US,---,"$397,542,333.15","29,645,215"
,2795542,Semtech Corp,SMTC,0.02%,Semiconductors,US,---,"$394,026,694.08","2,963,498"
,B4V9661,Ralph Lauren Corp,RL,0.02%,"Apparel, Accessories & Luxury Goods",US,---,"$393,951,087.70","1,135,633"
,2635659,TTM Technologies Inc,TTMI,0.02%,Electronic Manufacturing Services,US,---,"$392,192,808.60","3,297,955"
,BJJMGL2,Fox Corp,FOXA,0.02%,Broadcasting,US,---,"$391,538,551.50","5,813,490"
,2563125,Equity LifeStyle Properties Inc,ELS,0.02%,Single-Family Residential REITs,US,---,"$391,058,910.45","6,163,261"
,BYYHJL8,AGNC Investment Corp,AGNC,0.02%,Mortgage REITs,US,---,"$390,179,260.54","36,363,398"
,BKRTG56,Carlyle Group Inc/The,CG,0.02%,Asset Management & Custody Banks,US,---,"$388,084,461.09","8,019,931"
,BL6K237,Circle Internet Group Inc,CRCL,0.02%,Application Software,US,---,"$384,291,207.30","4,021,886"
,2267278,Deckers Outdoor Corp,DECK,0.02%,Footwear,US,---,"$384,033,597.92","4,410,124"
,BZ0V201,Penumbra Inc,PEN,0.02%,Health Care Equipment,US,---,"$383,080,284.00","1,185,640"
,2793610,SEI Investments Co,SEIC,0.02%,Asset Management & Custody Banks,US,---,"$381,964,638.14","3,441,743"
,2727910,UDR Inc,UDR,0.02%,Multi-Family Residential REITs,US,---,"$380,790,072.50","10,305,550"
,2086309,Applied Industrial Technologies Inc,AIT,0.02%,Trading Companies & Distributors,US,---,"$380,578,658.04","1,174,698"
,BF5L3T2,Elanco Animal Health Inc,ELAN,0.02%,Pharmaceuticals,US,---,"$380,466,496.80","15,905,790"
,2442053,Lennox International Inc,LII,0.02%,Building Products,US,---,"$380,456,656.16","994,294"
,BYX2YJ7,Encompass Health Corp,EHC,0.02%,Health Care Facilities,US,---,"$379,519,799.40","3,157,140"
,2469193,Jack Henry & Associates Inc,JKHY,0.02%,Transaction & Payment Processing Services,US,---,"$378,648,803.70","2,255,070"
,BNBRDD4,Fidelity National Financial Inc,FNF,0.02%,Property & Casualty Insurance,US,---,"$377,980,743.60","8,137,368"
,2048804,Pinnacle West Capital Corp,PNW,0.02%,Electric Utilities,US,---,"$375,404,123.92","3,844,778"
,2204026,Clorox Co/The,CLX,0.02%,Household Products,US,---,"$375,251,981.28","3,841,646"
,2849234,Stifel Financial Corp,SF,0.02%,Investment Banking & Brokerage,US,---,"$374,304,065.94","4,633,623"
,BR1GTS6,Nextpower Inc,NXT,0.02%,Electrical Components & Equipment,US,---,"$372,532,764.63","4,541,421"
,BLCF3J9,Essential Utilities Inc,WTRG,0.02%,Water Utilities,US,---,"$371,209,963.72","9,016,516"
,B2NC471,EchoStar Corp,ECHO,0.02%,Cable & Satellite,US,---,"$370,453,833.44","4,285,676"
,B72XK05,Ally Financial Inc,ALLY,0.02%,Consumer Finance,US,---,"$369,489,962.52","8,753,612"
,BFZNZF8,BJ's Wholesale Club Holdings Inc,BJ,0.02%,Consumer Staples Merchandise Retail,US,---,"$368,277,953.40","4,062,636"
,2341484,First Horizon Corp,FHN,0.02%,Regional Banks,US,---,"$366,454,903.04","15,068,047"
,BQWNKQ4,American Healthcare REIT Inc,AHR,0.02%,Health Care REITs,US,---,"$365,385,521.84","6,618,104"
,B40SSC9,Huntington Ingalls Industries Inc,HII,0.02%,Aerospace & Defense,US,---,"$364,664,809.60","1,252,283"
,BLDDH12,DraftKings Inc,DKNG,0.02%,Casinos & Gaming,US,---,"$363,909,646.59","14,981,871"
,2329770,FactSet Research Systems Inc,FDS,0.02%,Financial Exchanges & Data,US,---,"$363,408,526.15","1,159,013"
,B01SD70,Domino's Pizza Inc,DPZ,0.02%,Restaurants,US,---,"$360,971,471.22","1,055,287"
,BSHZ3Q0,Bio-Techne Corp,TECH,0.02%,Life Sciences Tools & Services,US,---,"$360,031,634.62","4,979,002"
,BFD2WR8,Antero Resources Corp,AR,0.02%,Oil & Gas Exploration & Production,US,---,"$359,597,254.64","9,345,043"
,BFPK4S5,Gaming and Leisure Properties Inc,GLPI,0.02%,Other Specialized REITs,US,---,"$359,593,282.93","8,547,499"
,2747305,Rollins Inc,ROL,0.02%,Environmental & Facilities Services,US,---,"$358,787,243.97","9,946,971"
,B1FW7Q2,Owens Corning,OC,0.02%,Building Products,US,---,"$353,746,337.40","2,560,596"
,2206721,Coca-Cola Consolidated Inc,COKE,0.01%,Soft Drinks & Non-alcoholic Beverages,US,---,"$351,329,966.37","1,796,441"
,BYQBFJ8,Arrowhead Pharmaceuticals Inc,ARWR,0.01%,Biotechnology,US,---,"$350,603,065.12","4,255,408"
,BQBBFD1,TKO Group Holdings Inc,TKO,0.01%,Movies & Entertainment,US,---,"$348,553,002.69","1,908,729"
,B6197Q2,Generac Holdings Inc,GNRC,0.01%,Electrical Components & Equipment,US,---,"$347,079,558.80","1,872,260"
,2679204,Align Technology Inc,ALGN,0.01%,Health Care Supplies,US,---,"$345,370,745.16","2,161,404"
,2943039,Watsco Inc,WSO,0.01%,Trading Companies & Distributors,US,---,"$344,957,305.84","1,113,412"
,2019479,BXP Inc,BXP,0.01%,Office REITs,US,---,"$344,425,577.73","5,065,827"
,BCF5RR9,American Homes 4 Rent,AMH,0.01%,Single-Family Residential REITs,US,---,"$343,102,687.20","10,303,384"
,2455761,EastGroup Properties Inc,EGP,0.01%,Industrial REITs,US,---,"$340,755,576.00","1,708,048"
,2797560,Service Corp International/US,SCI,0.01%,Specialized Consumer Services,US,---,"$340,653,921.40","4,172,635"
,2166320,Camden Property Trust,CPT,0.01%,Multi-Family Residential REITs,US,---,"$338,135,847.80","3,195,991"
,2350684,Franklin Templeton Inc,BEN,0.01%,Asset Management & Custody Banks,US,---,"$338,019,978.40","9,898,096"
,BF0LKD0,Knight-Swift Transportation Holdings Inc,KNX,0.01%,Cargo Ground Transportation,US,---,"$335,398,309.61","4,895,611"
,2601218,Moog Inc,MOG/A,0.01%,Aerospace & Defense,US,---,"$335,293,238.50","902,539"
,2730082,Regal Rexnord Corp,RRX,0.01%,Electrical Components & Equipment,US,---,"$335,096,398.00","2,114,840"
,B1BHXZ2,Evercore Inc,EVR,0.01%,Investment Banking & Brokerage,US,---,"$334,805,449.13","1,168,891"
,2049175,Advanced Energy Industries Inc,AEIS,0.01%,Electronic Equipment & Instruments,US,---,"$334,690,516.80","1,208,880"
,2276467,Donaldson Co Inc,DCI,0.01%,Industrial Machinery & Supplies & Components,US,---,"$334,328,867.10","3,678,390"
,2250289,Darling Ingredients Inc,DAR,0.01%,Agricultural Products & Services,US,---,"$334,219,292.19","5,043,297"
,2002479,AES Corp/The,AES,0.01%,Independent Power Producers & Energy Traders,US,---,"$333,244,558.46","22,608,179"
,2051404,Arrow Electronics Inc,ARW,0.01%,Technology Distributors,US,---,"$331,892,718.29","1,623,503"
,2531832,Littelfuse Inc,LFUS,0.01%,Electronic Components,US,---,"$331,449,188.66","804,137"
,B4PZ892,Allison Transmission Holdings Inc,ALSN,0.01%,Construction Machinery & Heavy Transportation Equipment,US,---,"$330,839,680.99","2,631,769"
,BP7RS59,Advanced Drainage Systems Inc,WMS,0.01%,Building Products,US,---,"$330,730,033.48","2,436,676"
,2212706,Molina Healthcare Inc,MOH,0.01%,Managed Health Care,US,---,"$328,906,706.70","1,654,710"
,BQXZP64,Wayfair Inc,W,0.01%,Homefurnishing Retail,US,---,"$328,795,442.91","3,312,133"
,B00SCY1,Corcept Therapeutics Inc,CORT,0.01%,Pharmaceuticals,US,---,"$328,726,561.70","2,900,102"
,B86QM90,Popular Inc,BPOP,0.01%,Regional Banks,US,---,"$327,638,661.13","1,948,027"
,B1XGNW4,Insulet Corp,PODD,0.01%,Health Care Equipment,US,---,"$327,614,975.42","2,203,787"
,BMX6JW3,JFrog Ltd,FROG,0.01%,Systems Software,US,---,"$327,335,174.34","3,271,062"
,BVDCQB2,SOUTHSTATE BANK CORP,SSB,0.01%,Regional Banks,US,---,"$325,259,274.84","3,100,956"
,2208288,Cognex Corp,CGNX,0.01%,Electronic Equipment & Instruments,US,---,"$322,587,579.36","5,291,791"
,2425258,Wintrust Financial Corp,WTFC,0.01%,Regional Banks,US,---,"$322,264,783.68","2,143,288"
,2288406,Flowserve Corp,FLS,0.01%,Industrial Machinery & Supplies & Components,US,---,"$321,342,353.64","4,062,996"
,BNYD4F8,Crane Co,CR,0.01%,Industrial Machinery & Supplies & Components,US,---,"$320,493,444.43","1,562,849"
,BD6JX35,Krystal Biotech Inc,KRYS,0.01%,Biotechnology,US,---,"$320,343,925.44","891,429"
,2961053,Skyworks Solutions Inc,SWKS,0.01%,Semiconductors,US,---,"$320,130,759.58","4,777,358"
,B1YWPP8,Ensign Group Inc/The,ENSG,0.01%,Health Care Facilities,US,---,"$320,123,505.24","1,858,374"
,2818461,Acuity Inc,AYI,0.01%,Electrical Components & Equipment,US,---,"$320,016,431.85","964,515"
,BW2K5V7,Solstice Advanced Materials Inc,SOLS,0.01%,Specialty Chemicals,US,---,"$320,014,652.94","5,048,346"
,2943620,Watts Water Technologies Inc,WTS,0.01%,Industrial Machinery & Supplies & Components,US,---,"$318,948,264.25","872,039"
,B92RRW2,Sanmina Corp,SANM,0.01%,Electronic Manufacturing Services,US,---,"$318,644,892.08","1,619,789"
,BYMWL19,Glaukos Corp,GKOS,0.01%,Health Care Equipment,US,---,"$318,410,336.36","1,773,281"
,BN7P9B2,Federal Realty Investment Trust,FRT,0.01%,Retail REITs,US,---,"$317,326,385.95","2,734,865"
,BD59BS7,Madrigal Pharmaceuticals Inc,MDGL,0.01%,Biotechnology,US,---,"$316,563,425.88","586,196"
,BJLT387,Avantor Inc,AVTR,0.01%,Life Sciences Tools & Services,US,---,"$315,908,326.30","21,726,845"
,BQ1L7V3,SPX Technologies Inc,SPXC,0.01%,Industrial Machinery & Supplies & Components,US,---,"$313,484,726.25","1,593,315"
,2193544,Brinker International Inc,EAT,0.01%,Restaurants,US,---,"$311,066,190.00","1,361,340"
,BQ721R4,Praxis Precision Medicines Inc,PRAX,0.01%,Biotechnology,US,---,"$310,789,312.70","887,209"
,BLS09M3,Pentair PLC,PNR,0.01%,Industrial Machinery & Supplies & Components,US,---,"$310,777,822.12","5,140,222"
,2989828,Zions Bancorp NA,ZION,0.01%,Regional Banks,US,---,"$310,697,105.94","4,658,826"
,2523334,Range Resources Corp,RRC,0.01%,Oil & Gas Exploration & Production,US,---,"$309,874,298.96","7,499,378"
,BL95MY0,Paycom Software Inc,PAYC,0.01%,Human Resource & Employment Services,US,---,"$308,082,980.10","1,288,511"
,2731654,Repligen Corp,RGEN,0.01%,Life Sciences Tools & Services,US,---,"$308,011,671.80","1,701,910"
,2918510,UMB Financial Corp,UMBF,0.01%,Regional Banks,US,---,"$307,943,984.55","2,174,285"
,BBBSBJ5,Cytokinetics Inc,CYTK,0.01%,Biotechnology,US,---,"$306,612,996.34","4,323,974"
,2663520,Oshkosh Corp,OSK,0.01%,Construction Machinery & Heavy Transportation Equipment,US,---,"$305,160,762.39","1,980,149"
,2239556,Cullen/Frost Bankers Inc,CFR,0.01%,Regional Banks,US,---,"$304,598,658.02","1,893,446"
,BPJM8Q3,BrightSpring Health Services Inc,BTSG,0.01%,Health Care Services,US,---,"$304,266,978.40","5,210,051"
,2512149,Kratos Defense & Security Solutions Inc,KTOS,0.01%,Aerospace & Defense,US,---,"$304,167,530.82","5,966,409"
,BDX85Z1,CNH Industrial NV,CNH,0.01%,Agricultural & Farm Machinery,US,---,"$303,691,360.70","25,671,290"
,BDCBCD8,Protagonist Therapeutics Inc,PTGX,0.01%,Biotechnology,US,---,"$302,791,167.00","2,049,348"
,BK80XH9,Match Group Inc,MTCH,0.01%,Interactive Media & Services,US,---,"$301,938,525.30","7,427,762"
,BDJ0LS6,Ionis Pharmaceuticals Inc,IONS,0.01%,Biotechnology,US,---,"$301,794,869.40","4,999,915"
,BTDN8H1,Aptiv PLC,APTV,0.01%,Automotive Parts & Equipment,US,---,"$301,367,423.88","6,732,963"
,2134532,American Financial Group Inc/OH,AFG,0.01%,Property & Casualty Insurance,US,---,"$301,318,198.60","2,113,772"
,2897040,Toro Co/The,TTC,0.01%,Agricultural & Farm Machinery,US,---,"$301,204,623.47","3,079,487"
,2982399,Saia Inc,SAIA,0.01%,Cargo Ground Transportation,US,---,"$301,198,182.55","848,135"
,2657802,OGE Energy Corp,OGE,0.01%,Electric Utilities,US,---,"$299,851,293.69","6,571,363"
,BJ2Z0H2,Pinterest Inc,PINS,0.01%,Interactive Media & Services,US,---,"$299,661,371.49","13,802,919"
,2598354,Modine Manufacturing Co,MOD,0.01%,Building Products,US,---,"$299,175,722.16","1,676,712"
,2721967,Rambus Inc,RMBS,0.01%,Semiconductors,US,---,"$298,100,469.55","3,438,695"
,2883890,Tetra Tech Inc,TTEK,0.01%,Environmental & Facilities Services,US,---,"$297,992,442.28","8,245,502"
,BMF0P92,Aurora Innovation Inc,AUR,0.01%,Application Software,US,---,"$296,075,512.63","52,588,901"
,BMFX6P4,Jackson Financial Inc,JXN,0.01%,Diversified Financial Services,US,---,"$296,035,670.37","2,218,659"
,BNC23Q1,DigitalOcean Holdings Inc,DOCN,0.01%,Internet Services & Infrastructure,US,---,"$293,948,585.38","2,655,602"
,2127899,Affiliated Managers Group Inc,AMG,0.01%,Asset Management & Custody Banks,US,---,"$293,049,416.61","795,919"
,2632003,New York Times Co/The,NYT,0.01%,Publishing,US,---,"$293,042,313.97","4,356,211"
,BMP8TL6,CareTrust REIT Inc,CTRE,0.01%,Health Care REITs,US,---,"$292,718,909.60","7,515,248"
,B7D65M0,Globus Medical Inc,GMED,0.01%,Health Care Equipment,US,---,"$292,439,223.28","3,593,944"
,BKWQ2N2,Voya Financial Inc,VOYA,0.01%,Diversified Financial Services,US,---,"$292,231,095.48","2,884,239"
,2659109,Old Republic International Corp,ORI,0.01%,Property & Casualty Insurance,US,---,"$290,087,346.90","6,951,530"
,B5367T7,Booz Allen Hamilton Holding Corp,BAH,0.01%,Research & Consulting Services,US,---,"$288,070,207.10","3,807,934"
,B50K3X8,Primerica Inc,PRI,0.01%,Life & Health Insurance,US,---,"$287,359,185.85","998,989"
,B6SW913,CubeSmart,CUBE,0.01%,Self-Storage REITs,US,---,"$286,033,014.48","7,201,234"
,2760669,Ryder System Inc,R,0.01%,Cargo Ground Transportation,US,---,"$285,861,990.06","1,169,361"
,2009210,Alexandria Real Estate Equities Inc,ARE,0.01%,Health Care REITs,US,---,"$284,355,247.72","5,544,068"
,BN4L6W3,Maplebear Inc,CART,0.01%,Food Retail,US,---,"$283,391,889.48","5,609,499"
,2764188,SM Energy Co,SM,0.01%,Oil & Gas Exploration & Production,US,---,"$283,342,124.78","7,620,821"
,BYXB201,Viavi Solutions Inc,VIAV,0.01%,Communications Equipment,US,---,"$282,201,927.00","7,776,300"
,2658441,Old National Bancorp/IN,ONB,0.01%,Regional Banks,US,---,"$281,649,076.02","11,010,519"
,BCV7KT2,American Airlines Group Inc,AAL,0.01%,Passenger Airlines,US,---,"$281,396,735.21","20,952,847"
,BFTDJL8,Brixmor Property Group Inc,BRX,0.01%,Retail REITs,US,---,"$281,129,514.48","9,731,032"
,BKPVGH6,Vaxcyte Inc,PCVX,0.01%,Biotechnology,US,---,"$279,348,422.90","4,599,085"
,BN15Y35,MP Materials Corp,MP,0.01%,Diversified Metals & Mining,US,---,"$278,990,615.25","5,095,719"
,2416962,Henry Schein Inc,HSIC,0.01%,Health Care Distributors,US,---,"$277,897,235.20","3,094,624"
,2289841,Dycom Industries Inc,DY,0.01%,Construction & Engineering,US,---,"$277,662,619.59","953,479"
,BGKG6G7,Twist Bioscience Corp,TWST,0.01%,Biotechnology,US,---,"$276,543,280.00","1,989,520"
,BYZR4X4,Axsome Therapeutics Inc,AXSM,0.01%,Pharmaceuticals,US,---,"$276,282,666.24","1,391,712"
,2983563,CarMax Inc,KMX,0.01%,Automotive Retail,US,---,"$276,248,289.69","4,504,293"
,2946243,Viasat Inc,VSAT,0.01%,Communications Equipment,US,---,"$275,832,831.68","4,100,384"
,B1VZ431,AECOM,ACM,0.01%,Construction & Engineering,US,---,"$275,424,173.42","4,084,594"
,BTCHBL9,Chime Financial Inc,CHYM,0.01%,Transaction & Payment Processing Services,US,---,"$275,313,987.41","8,315,131"
,2926825,Valmont Industries Inc,VMI,0.01%,Construction & Engineering,US,---,"$275,253,166.54","586,069"
,2062161,Agree Realty Corp,ADC,0.01%,Retail REITs,US,---,"$275,174,529.00","3,808,644"
,2465737,InterDigital Inc,IDCC,0.01%,Application Software,US,---,"$275,093,468.03","821,101"
,2923785,Universal Health Services Inc,UHS,0.01%,Health Care Facilities,US,---,"$274,159,080.08","1,609,576"
,2176608,Columbia Banking System Inc,COLB,0.01%,Regional Banks,US,---,"$273,231,449.40","9,218,335"
,BFXCLC6,Elastic NV,ESTC,0.01%,Application Software,US,---,"$273,107,223.20","2,799,664"
,2419217,HEICO Corp,HEI,0.01%,Aerospace & Defense,US,---,"$272,520,223.65","822,951"
,2211811,NNN REIT Inc,NNN,0.01%,Retail REITs,US,---,"$272,485,352.40","6,028,437"
,BCZWJ63,Murphy USA Inc,MUSA,0.01%,Automotive Retail,US,---,"$272,258,890.62","528,258"
,2969637,Dick's Sporting Goods Inc,DKS,0.01%,Other Specialty Retail,US,---,"$268,483,554.50","1,987,295"
,2045247,AptarGroup Inc,ATR,0.01%,"Metal, Glass & Plastic Containers",US,---,"$267,201,893.62","2,030,101"
,2515030,Lithia Motors Inc,LAD,0.01%,Automotive Retail,US,---,"$266,573,307.00","725,725"
,BC9ZHL9,Rexford Industrial Realty Inc,REXR,0.01%,Industrial REITs,US,---,"$266,144,067.60","7,185,315"
,2298386,Eastman Chemical Co,EMN,0.01%,Specialty Chemicals,US,---,"$263,482,027.80","3,637,245"
,BLDDYB1,Chord Energy Corp,CHRD,0.01%,Oil & Gas Exploration & Production,US,---,"$263,350,290.49","1,790,159"
,BW0WZZ9,Viper Energy Inc,VNOM,0.01%,Oil & Gas Exploration & Production,US,---,"$263,101,566.06","5,874,114"
,2910118,UGI Corp,UGI,0.01%,Gas Utilities,US,---,"$261,788,824.40","6,808,552"
,BJ1C2K1,Element Solutions Inc,ESI,0.01%,Specialty Chemicals,US,---,"$261,732,730.70","7,364,455"
,B8QV5C9,Ryman Hospitality Properties Inc,RHP,0.01%,Hotel & Resort REITs,US,---,"$261,312,444.24","2,061,474"
,2360757,First Industrial Realty Trust Inc,FR,0.01%,Industrial REITs,US,---,"$261,149,317.52","4,220,254"
,BDW0D09,Applied Optoelectronics Inc,AAOI,0.01%,Communications Equipment,US,---,"$261,138,557.90","2,424,910"
,BD1MGQ3,Kinsale Capital Group Inc,KNSL,0.01%,Property & Casualty Insurance,US,---,"$260,409,385.20","696,468"
,BMTX0G9,Corebridge Financial Inc,CRBG,0.01%,Diversified Financial Services,US,---,"$260,178,613.70","7,995,655"
,2310257,Prosperity Bancshares Inc,PB,0.01%,Regional Banks,US,---,"$259,075,466.20","3,620,395"
,2516378,Lincoln National Corp,LNC,0.01%,Life & Health Insurance,US,---,"$258,722,963.65","6,074,735"
,B0CCGJ4,Western Alliance Bancorp,WAL,0.01%,Regional Banks,US,---,"$257,701,804.36","3,298,372"
,BNXKS92,Core & Main Inc,CNM,0.01%,Trading Companies & Distributors,US,---,"$257,347,541.04","5,990,399"
,BMF5Q83,FirstCash Holdings Inc,FCFS,0.01%,Consumer Finance,US,---,"$254,407,531.05","1,186,215"
,2213204,Commerce Bancshares Inc/MO,CBSH,0.01%,Regional Banks,US,---,"$253,674,461.96","4,395,676"
,BQQ8816,Hut 8 Corp,HUT,0.01%,Application Software,US,---,"$253,517,272.80","3,223,770"
,BM9HHL5,Apogee Therapeutics Inc,APGE,0.01%,Biotechnology,US,---,"$252,403,869.08","1,868,551"
,BNKBB55,TPG Inc,TPG,0.01%,Asset Management & Custody Banks,US,---,"$251,838,057.24","4,653,327"
,2626103,National Fuel Gas Co,NFG,0.01%,Gas Utilities,US,---,"$251,067,040.14","3,022,719"
,BN770G0,Compass Inc,COMP,0.01%,Real Estate Services,US,---,"$251,056,660.80","23,774,305"
,BN7CQS9,Blue Owl Capital Inc,OWL,0.01%,Asset Management & Custody Banks,US,---,"$250,073,395.92","20,430,833"
,B3P6D26,Alkermes PLC,ALKS,0.01%,Biotechnology,US,---,"$249,460,089.09","5,308,791"
,2891826,FormFactor Inc,FORM,0.01%,Semiconductor Materials & Equipment,US,---,"$249,046,573.26","2,475,366"
,BMPRZV5,Kymera Therapeutics Inc,KYMR,0.01%,Biotechnology,US,---,"$248,789,684.53","2,094,013"
,BSFWCF5,Axalta Coating Systems Ltd,AXTA,0.01%,Specialty Chemicals,US,---,"$248,193,595.62","6,814,761"
,BCGCR79,Sprouts Farmers Market Inc,SFM,0.01%,Food Retail,US,---,"$245,199,347.12","2,988,778"
,2215460,Conagra Brands Inc,CAG,0.01%,Packaged Foods & Meats,US,---,"$244,248,737.76","15,246,488"
,BP8XZL1,HealthEquity Inc,HQY,0.01%,Managed Health Care,US,---,"$244,098,976.50","2,528,475"
,B3NPHP6,Mosaic Co/The,MOS,0.01%,Fertilizers & Agricultural Chemicals,US,---,"$243,816,344.64","10,108,472"
,BN2RYW9,NOV Inc,NOV,0.01%,Oil & Gas Equipment & Services,US,---,"$243,443,230.12","11,434,628"
,BMD02L5,UiPath Inc,PATH,0.01%,Systems Software,US,---,"$243,035,231.40","13,017,420"
,2242929,Amkor Technology Inc,AMKR,0.01%,Semiconductor Materials & Equipment,US,---,"$242,411,743.20","5,124,984"
,2696838,Fluor Corp,FLR,0.01%,Construction & Engineering,US,---,"$242,312,321.82","4,445,282"
,BR9YYP4,Qorvo Inc,QRVO,0.01%,Semiconductors,US,---,"$242,124,866.72","2,520,034"
,2493534,Kirby Corp,KEX,0.01%,Marine Transportation,US,---,"$241,403,587.58","1,701,703"
,BMV1ZD3,Zurn Elkay Water Solutions Corp,ZWS,0.01%,Building Products,US,---,"$241,240,577.20","5,046,874"
,BLH11J8,Procore Technologies Inc,PCOR,0.01%,Application Software,US,---,"$240,835,392.00","3,839,850"
,2296937,IDACORP Inc,IDA,0.01%,Electric Utilities,US,---,"$239,880,152.32","1,761,752"
,BG0Q4Z2,Jefferies Financial Group Inc,JEF,0.01%,Investment Banking & Brokerage,US,---,"$239,706,820.64","4,553,701"
,2809250,Simpson Manufacturing Co Inc,SSD,0.01%,Building Products,US,---,"$238,814,801.46","1,307,786"
,2892807,Timken Co/The,TKR,0.01%,Industrial Machinery & Supplies & Components,US,---,"$238,671,915.90","1,981,502"
,B828K63,TG Therapeutics Inc,TGTX,0.01%,Biotechnology,US,---,"$238,174,515.30","4,386,271"
,2213260,Commercial Metals Co,CMC,0.01%,Steel,US,---,"$237,780,000.51","3,524,233"
,BJBT0Q4,Antero Midstream Corp,AM,0.01%,Oil & Gas Storage & Transportation,US,---,"$236,912,902.28","10,567,034"
,BYSZB89,OneMain Holdings Inc,OMF,0.01%,Consumer Finance,US,---,"$236,781,987.48","3,790,938"
,B0LLFT5,GameStop Corp,GME,0.01%,Computer & Electronics Retail,US,---,"$236,069,191.04","12,843,808"
,B9CGTC3,Norwegian Cruise Line Holdings Ltd,NCLH,0.01%,"Hotels, Resorts & Cruise Lines",US,---,"$235,295,020.92","14,578,378"
,2547419,MGM Resorts International,MGM,0.01%,Casinos & Gaming,US,---,"$234,960,493.68","5,680,863"
,B1FT462,Armstrong World Industries Inc,AWI,<0.01%,Building Products,US,---,"$234,314,627.28","1,357,716"
,2146838,Brown-Forman Corp,BF/B,<0.01%,Distillers & Vintners,US,---,"$234,119,535.68","8,811,424"
,2066505,Avnet Inc,AVT,<0.01%,Technology Distributors,US,---,"$233,555,374.04","2,607,809"
,BSML6T7,Figma Inc,FIG,<0.01%,Application Software,US,---,"$233,507,179.91","8,494,259"
,BN0TQF4,Zeta Global Holdings Corp,ZETA,<0.01%,Application Software,US,---,"$233,424,947.07","7,537,131"
,BWTN5N1,Etsy Inc,ETSY,<0.01%,Broadline Retail,US,---,"$233,290,225.20","2,868,440"
,BMQ8XV3,StoneX Group Inc,SNEX,<0.01%,Investment Banking & Brokerage,US,---,"$233,025,096.48","3,402,819.75"
,BF2YWG4,Rhythm Pharmaceuticals Inc,RYTM,<0.01%,Biotechnology,US,---,"$231,567,487.99","2,181,923"
,2010278,AGCO Corp,AGCO,<0.01%,Agricultural & Farm Machinery,US,---,"$231,557,396.79","1,957,209"
,BYQ3PM7,Houlihan Lokey Inc,HLI,<0.01%,Investment Banking & Brokerage,US,---,"$229,791,560.13","1,723,997"
,BKM4S16,MSA Safety Inc,MSA,<0.01%,Office Services & Supplies,US,---,"$229,061,451.72","1,226,436"
,2568131,Silicon Laboratories Inc,SLAB,<0.01%,Semiconductors,US,---,"$228,834,744.45","1,044,669"
,BKY83Q6,Oscar Health Inc,OSCR,<0.01%,Life & Health Insurance,US,---,"$228,146,838.08","7,615,048"
,B4NFPK4,First American Financial Corp,FAF,<0.01%,Property & Casualty Insurance,US,---,"$227,846,942.40","3,082,345"
,BDQZFJ3,Lamb Weston Holdings Inc,LW,<0.01%,Packaged Foods & Meats,US,---,"$227,624,142.76","4,174,292"
,BSLSJJ0,Tempus AI Inc,TEM,<0.01%,Life Sciences Tools & Services,US,---,"$227,528,408.90","3,608,698"
,BGPZ5W8,Arcosa Inc,ACA,<0.01%,Construction & Engineering,US,---,"$226,961,215.40","1,562,018"
,B64BRQ5,STAG Industrial Inc,STAG,<0.01%,Industrial REITs,US,---,"$226,757,289.00","6,087,444"
,2098508,Bio-Rad Laboratories Inc,BIO,<0.01%,Life Sciences Tools & Services,US,---,"$226,258,983.72","585,981"
,2020415,Hanover Insurance Group Inc/The,THG,<0.01%,Property & Casualty Insurance,US,---,"$226,201,348.44","1,000,404"
,2321583,ESCO Technologies Inc,ESE,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$225,230,637.90","824,930"
,BP7L1B8,SentinelOne Inc,S,<0.01%,Systems Software,US,---,"$225,225,674.70","10,191,207"
,BJJMGY5,Fox Corp,FOX,<0.01%,Broadcasting,US,---,"$224,749,952.56","3,732,148"
,B3N4753,Terreno Realty Corp,TRNO,<0.01%,Industrial REITs,US,---,"$223,921,160.64","3,381,984"
,B01CGF1,NewMarket Corp,NEU,<0.01%,Specialty Chemicals,US,---,"$223,234,649.80","248,674"
,BQBBDY8,Spyre Therapeutics Inc,SYRE,<0.01%,Biotechnology,US,---,"$222,218,558.62","2,487,614"
,2416779,Hexcel Corp,HXL,<0.01%,Aerospace & Defense,US,---,"$221,824,549.68","2,393,704"
,2190084,Chemed Corp,CHE,<0.01%,Health Care Services,US,---,"$221,423,812.54","426,874"
,BTNMGM9,Ralliant Corp,RAL,<0.01%,Electronic Equipment & Instruments,US,---,"$220,117,142.65","3,565,805"
,BKS3RS7,10X Genomics Inc,TXG,<0.01%,Life Sciences Tools & Services,US,---,"$220,044,198.70","3,523,526"
,2677606,Axis Capital Holdings Ltd,AXS,<0.01%,Property & Casualty Insurance,US,---,"$219,888,527.54","2,226,043"
