Fondsposition per,"17.Sept.2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"MTX","MTU AERO ENGINES HOLDING AG","Industrie","Aktien","14.941.499,70","0,14","14.941.499,70","43.221,00","345,70","Deutschland","Xetra","EUR"
"GMAB","GENMAB","Gesundheitsversorgung","Aktien","14.937.648,97","0,14","14.937.648,97","49.761,00","300,19","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"FRE","FRESENIUS N","Gesundheitsversorgung","Aktien","14.777.597,87","0,14","14.777.597,87","320.451,00","46,12","Deutschland","Xetra","EUR"
"HBAN","HELVETIA BALOISE HOLDING N AG","Finanzwesen","Aktien","14.596.263,79","0,14","14.596.263,79","61.325,00","238,01","Schweiz","SIX Swiss Exchange","CHF"
"AENA","AENA SME SA","Industrie","Aktien","14.538.378,40","0,14","14.538.378,40","570.580,00","25,48","Spanien","Bolsa De Madrid","EUR"
"BIRG","BANK OF IRELAND GROUP PLC","Finanzwesen","Aktien","14.533.174,08","0,14","14.533.174,08","714.512,00","20,34","Irland","Irish Stock Exchange - All Market","EUR"
"CBK","COMMERZBANK AG","Finanzwesen","Aktien","14.466.368,28","0,14","14.466.368,28","346.749,00","41,72","Deutschland","Xetra","EUR"
"RYA","RYANAIR HOLDINGS PLC","Industrie","Aktien","14.449.988,00","0,14","14.449.988,00","639.380,00","22,60","Irland","Irish Stock Exchange - All Market","EUR"
"CAP","CAPGEMINI","IT","Aktien","14.391.027,00","0,14","14.391.027,00","134.370,00","107,10","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SCMN","SWISSCOM AG","Kommunikation","Aktien","14.356.042,07","0,14","14.356.042,07","20.228,00","709,71","Schweiz","SIX Swiss Exchange","CHF"
"HEI","HEIDELBERG MATERIALS AG","Materialien","Aktien","14.269.647,55","0,14","14.269.647,55","97.637,00","146,15","Deutschland","Xetra","EUR"
"SAB","BANCO DE SABADELL","Finanzwesen","Aktien","14.251.643,52","0,14","14.251.643,52","3.848.675,00","3,70","Spanien","Bolsa De Madrid","EUR"
"HEXA B","HEXAGON CLASS B","IT","Aktien","14.145.366,11","0,13","14.145.366,11","1.673.530,00","8,45","Schweden","Nasdaq Omx Nordic","SEK"
"BAMI","BANCO BPM","Finanzwesen","Aktien","14.077.754,17","0,13","14.077.754,17","878.487,00","16,02","Italien","Borsa Italiana","EUR"
"SAAB B","SAAB CLASS B","Industrie","Aktien","13.977.036,58","0,13","13.977.036,58","257.289,00","54,32","Schweden","Nasdaq Omx Nordic","SEK"
"VACN","VAT GROUP AG","Industrie","Aktien","13.482.719,74","0,13","13.482.719,74","21.440,00","628,86","Schweiz","SIX Swiss Exchange","CHF"
"MRK","MERCK","Gesundheitsversorgung","Aktien","13.474.019,35","0,13","13.474.019,35","102.503,00","131,45","Deutschland","Xetra","EUR"
"PHIA","KONINKLIJKE PHILIPS","Gesundheitsversorgung","Aktien","13.415.370,48","0,13","13.415.370,48","622.812,00","21,54","Niederlande","Euronext Amsterdam","EUR"
"SGSN","SGS SA","Industrie","Aktien","13.337.777,27","0,13","13.337.777,27","135.201,00","98,65","Schweiz","SIX Swiss Exchange","CHF"
"KER","KERING SA","Zyklische Konsumgüter ","Aktien","13.174.645,60","0,13","13.174.645,60","54.986,00","239,60","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"GBP","GBP CASH","Cash und/oder Derivate","Geldmarkt","12.915.719,56","0,12","12.915.719,56","11.110.276,00","116,25","Vereinigtes Königreich","-","GBP"
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Zyklische Konsumgüter ","Aktien","12.875.311,04","0,12","12.875.311,04","158.876,00","81,04","Deutschland","Xetra","EUR"
"ANTO","ANTOFAGASTA PLC","Materialien","Aktien","12.872.404,25","0,12","12.872.404,25","299.109,00","43,04","Vereinigtes Königreich","London Stock Exchange","GBP"
"UMG","UNIVERSAL MUSIC GROUP","Kommunikation","Aktien","12.791.460,44","0,12","12.791.460,44","867.806,00","14,74","Niederlande","Euronext Amsterdam","EUR"
"WKL","WOLTERS KLUWER","Industrie","Aktien","12.545.931,84","0,12","12.545.931,84","179.023,00","70,08","Niederlande","Euronext Amsterdam","EUR"
"BAER","JULIUS BAER GRUPPE AG","Finanzwesen","Aktien","12.425.002,45","0,12","12.425.002,45","159.946,00","77,68","Schweiz","SIX Swiss Exchange","CHF"
"KPN","KONINKLIJKE KPN NV","Kommunikation","Aktien","12.421.735,45","0,12","12.421.735,45","2.952.635,00","4,21","Niederlande","Euronext Amsterdam","EUR"
"DSFIR","DSM FIRMENICH AG","Materialien","Aktien","12.320.916,36","0,12","12.320.916,36","133.401,00","92,36","Niederlande","Euronext Amsterdam","EUR"
"HLMA","HALMA PLC","IT","Aktien","12.184.082,83","0,12","12.184.082,83","297.078,00","41,01","Vereinigtes Königreich","London Stock Exchange","GBP"
"BT.A","BT GROUP PLC","Kommunikation","Aktien","12.091.842,90","0,12","12.091.842,90","4.995.949,00","2,42","Vereinigtes Königreich","London Stock Exchange","GBP"
"DSY","DASSAULT SYSTEMES","IT","Aktien","11.873.486,94","0,11","11.873.486,94","576.943,00","20,58","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"HNR1","HANNOVER RUECK","Finanzwesen","Aktien","11.755.277,60","0,11","11.755.277,60","46.063,00","255,20","Deutschland","Xetra","EUR"
"PGHN","PARTNERS GROUP HOLDING AG","Finanzwesen","Aktien","11.682.154,99","0,11","11.682.154,99","17.799,00","656,34","Schweiz","SIX Swiss Exchange","CHF"
"KRX","KINGSPAN GROUP PLC","Industrie","Aktien","11.448.524,25","0,11","11.448.524,25","118.331,00","96,75","Irland","Irish Stock Exchange - All Market","EUR"
"NESTE","NESTE","Energie","Aktien","11.387.042,97","0,11","11.387.042,97","331.887,00","34,31","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"EPI A","EPIROC CLASS A","Industrie","Aktien","11.380.551,82","0,11","11.380.551,82","500.837,00","22,72","Schweden","Nasdaq Omx Nordic","SEK"
"EDP","EDP ENERGIAS DE PORTUGAL","Versorger","Aktien","11.307.833,45","0,11","11.307.833,45","2.330.551,00","4,85","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"SHL","SIEMENS HEALTHINEERS AG","Gesundheitsversorgung","Aktien","11.205.615,62","0,11","11.205.615,62","291.661,00","38,42","Deutschland","Xetra","EUR"
"ALFA","ALFA LAVAL","Industrie","Aktien","11.091.115,01","0,11","11.091.115,01","224.912,00","49,31","Schweden","Nasdaq Omx Nordic","SEK"
"ELE","ENDESA SA","Versorger","Aktien","10.989.153,16","0,10","10.989.153,16","251.353,00","43,72","Spanien","Bolsa De Madrid","EUR"
"FBK","FINECOBANK BANCA FINECO","Finanzwesen","Aktien","10.983.478,00","0,10","10.983.478,00","476.300,00","23,06","Italien","Borsa Italiana","EUR"
"TEF","TELEFONICA SA","Kommunikation","Aktien","10.979.710,22","0,10","10.979.710,22","2.926.362,00","3,75","Spanien","Bolsa De Madrid","EUR"
"WRT1V","WARTSILA","Industrie","Aktien","10.979.154,00","0,10","10.979.154,00","377.550,00","29,08","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"UPM","UPM-KYMMENE","Materialien","Aktien","10.795.382,40","0,10","10.795.382,40","408.916,00","26,40","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"BG","BAWAG GROUP AG","Finanzwesen","Aktien","10.771.544,60","0,10","10.771.544,60","60.311,00","178,60","Österreich","Wiener Boerse Ag","EUR"
"SGRO","SEGRO REIT PLC","Immobilien","Aktien","10.678.336,02","0,10","10.678.336,02","974.708,00","10,96","Vereinigtes Königreich","London Stock Exchange","GBP"
"BESI","BE SEMICONDUCTOR INDUSTRIES NV","IT","Aktien","10.629.366,00","0,10","10.629.366,00","58.564,00","181,50","Niederlande","Euronext Amsterdam","EUR"
"BOL","BOLIDEN","Materialien","Aktien","10.618.368,54","0,10","10.618.368,54","221.952,00","47,84","Schweden","Nasdaq Omx Nordic","SEK"
"INF","INFORMA PLC","Kommunikation","Aktien","10.613.194,16","0,10","10.613.194,16","1.022.353,00","10,38","Vereinigtes Königreich","London Stock Exchange","GBP"
"TRN","TERNA RETE ELETTRICA NAZIONALE","Versorger","Aktien","10.551.982,56","0,10","10.551.982,56","1.120.168,00","9,42","Italien","Borsa Italiana","EUR"
"VNA","VONOVIA SE","Immobilien","Aktien","10.551.059,56","0,10","10.551.059,56","586.822,00","17,98","Deutschland","Xetra","EUR"
"KRZ","KERRY GROUP PLC","Nichtzyklische Konsumgüter","Aktien","10.520.195,00","0,10","10.520.195,00","123.767,00","85,00","Irland","Irish Stock Exchange - All Market","EUR"
"TIT","TELECOM ITALIA","Kommunikation","Aktien","10.486.751,62","0,10","10.486.751,62","1.331.651,00","7,88","Italien","Borsa Italiana","EUR"
"ESSITY B","ESSITY CLASS B","Nichtzyklische Konsumgüter","Aktien","10.380.659,12","0,10","10.380.659,12","442.833,00","23,44","Schweden","Nasdaq Omx Nordic","SEK"
"KOG","KONGSBERG GRUPPEN","Industrie","Aktien","10.359.243,83","0,10","10.359.243,83","346.360,00","29,91","Norwegen","Oslo Bors Asa","NOK"
"LOGN","LOGITECH INTERNATIONAL","IT","Aktien","9.919.032,81","0,09","9.919.032,81","111.302,00","89,12","Schweiz","SIX Swiss Exchange","CHF"
"SOON","SONOVA HOLDING AG","Gesundheitsversorgung","Aktien","9.900.378,82","0,09","9.900.378,82","39.861,00","248,37","Schweiz","SIX Swiss Exchange","CHF"
"PST","POSTE ITALIANE","Finanzwesen","Aktien","9.634.835,61","0,09","9.634.835,61","355.923,00","27,07","Italien","Borsa Italiana","EUR"
"ENX","EURONEXT NV","Finanzwesen","Aktien","9.566.457,20","0,09","9.566.457,20","60.778,00","157,40","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"KNIN","KUEHNE UND NAGEL INTERNATIONAL AG","Industrie","Aktien","9.558.948,45","0,09","9.558.948,45","41.775,00","228,82","Schweiz","SIX Swiss Exchange","CHF"
"CLNX","CELLNEX TELECOM","Kommunikation","Aktien","9.510.229,29","0,09","9.510.229,29","379.347,00","25,07","Spanien","Bolsa De Madrid","EUR"
"STMN","STRAUMANN HOLDING AG","Gesundheitsversorgung","Aktien","9.434.392,78","0,09","9.434.392,78","94.300,00","100,05","Schweiz","SIX Swiss Exchange","CHF"
"EN","BOUYGUES SA","Industrie","Aktien","9.416.257,50","0,09","9.416.257,50","209.950,00","44,85","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"UU.","UNITED UTILITIES GROUP PLC","Versorger","Aktien","9.411.226,09","0,09","9.411.226,09","581.585,00","16,18","Vereinigtes Königreich","London Stock Exchange","GBP"
"AGS","AGEAS","Finanzwesen","Aktien","9.369.936,25","0,09","9.369.936,25","121.925,00","76,85","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"SY1","SYMRISE AG","Materialien","Aktien","9.326.881,70","0,09","9.326.881,70","103.517,00","90,10","Deutschland","Xetra","EUR"
"IAG","INTERNATIONAL AIRLINES GROUP","Industrie","Aktien","9.323.789,81","0,09","9.323.789,81","1.897.882,00","4,91","Spanien","London Stock Exchange","GBP"
"RI","PERNOD RICARD SA","Nichtzyklische Konsumgüter","Aktien","9.169.803,00","0,09","9.169.803,00","152.525,00","60,12","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ADM","ADMIRAL GROUP PLC","Finanzwesen","Aktien","9.047.908,47","0,09","9.047.908,47","199.875,00","45,27","Vereinigtes Königreich","London Stock Exchange","GBP"
"METSO","METSO CORPORATION","Industrie","Aktien","9.021.470,98","0,09","9.021.470,98","514.337,00","17,54","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"PEO","BANK PEKAO SA","Finanzwesen","Aktien","8.966.543,05","0,09","8.966.543,05","143.629,00","62,43","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"DPLM","DIPLOMA PLC","Industrie","Aktien","8.919.589,51","0,09","8.919.589,51","104.676,00","85,21","Vereinigtes Königreich","London Stock Exchange","GBP"
"SRG","SNAM","Versorger","Aktien","8.903.814,39","0,08","8.903.814,39","1.583.745,00","5,62","Italien","Borsa Italiana","EUR"
"SGE","THE SAGE GROUP","IT","Aktien","8.901.071,89","0,08","8.901.071,89","740.505,00","12,02","Vereinigtes Königreich","London Stock Exchange","GBP"
"SCHP","SCHINDLER HOLDING PAR AG","Industrie","Aktien","8.899.748,32","0,08","8.899.748,32","32.996,00","269,72","Schweiz","SIX Swiss Exchange","CHF"
"HEN3","HENKEL & KGAA PREF AG","Nichtzyklische Konsumgüter","Aktien","8.897.722,14","0,08","8.897.722,14","120.207,00","74,02","Deutschland","Xetra","EUR"
"CCH","COCA COLA HBC AG","Nichtzyklische Konsumgüter","Aktien","8.887.000,04","0,08","8.887.000,04","165.829,00","53,59","Vereinigtes Königreich","London Stock Exchange","GBP"
"UNI","UNIPOL ASSICURAZIONI SPA","Finanzwesen","Aktien","8.858.362,28","0,08","8.858.362,28","312.244,00","28,37","Italien","Borsa Italiana","EUR"
"KGH","KGHM POLSKA MIEDZ SA","Materialien","Aktien","8.765.942,01","0,08","8.765.942,01","112.036,00","78,24","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"FORTUM","FORTUM","Versorger","Aktien","8.633.244,41","0,08","8.633.244,41","353.387,00","24,43","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"BCP","BANCO COMERCIAL PORTUGUES SA","Finanzwesen","Aktien","8.567.286,00","0,08","8.567.286,00","7.121.601,00","1,20","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"ALE","ALLEGRO SA","Zyklische Konsumgüter ","Aktien","8.524.033,75","0,08","8.524.033,75","751.271,00","11,35","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"ASRNL","ASR NEDERLAND","Finanzwesen","Aktien","8.511.633,04","0,08","8.511.633,04","113.549,00","74,96","Niederlande","Euronext Amsterdam","EUR"
"ITRK","INTERTEK GROUP PLC","Industrie","Aktien","8.476.286,04","0,08","8.476.286,04","124.853,00","67,89","Vereinigtes Königreich","London Stock Exchange","GBP"
"SPSN","SWISS PRIME SITE AG","Immobilien","Aktien","8.476.593,03","0,08","8.476.593,03","63.201,00","134,12","Schweiz","SIX Swiss Exchange","CHF"
"CA","CARREFOUR SA","Nichtzyklische Konsumgüter","Aktien","8.448.655,57","0,08","8.448.655,57","502.597,00","16,81","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"NTGY","NATURGY ENERGY GROUP SA","Versorger","Aktien","8.414.820,48","0,08","8.414.820,48","281.244,00","29,92","Spanien","Bolsa De Madrid","EUR"
"NHY","NORSK HYDRO","Materialien","Aktien","8.315.507,48","0,08","8.315.507,48","1.039.633,00","8,00","Norwegen","Oslo Bors Asa","NOK"
"BKT","BANKINTER SA","Finanzwesen","Aktien","8.309.182,83","0,08","8.309.182,83","495.479,00","16,77","Spanien","Bolsa De Madrid","EUR"
"OMV","OMV","Energie","Aktien","8.286.427,50","0,08","8.286.427,50","114.850,00","72,15","Österreich","Wiener Boerse Ag","EUR"
"CARL B","CARLSBERG AS CL B","Nichtzyklische Konsumgüter","Aktien","8.277.102,42","0,08","8.277.102,42","72.435,00","114,27","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"AKRBP","AKER BP","Energie","Aktien","8.244.216,43","0,08","8.244.216,43","242.585,00","33,98","Norwegen","Oslo Bors Asa","NOK"
"EVO","EVOLUTION","Zyklische Konsumgüter ","Aktien","8.202.973,33","0,08","8.202.973,33","102.764,00","79,82","Schweden","Nasdaq Omx Nordic","SEK"
"FGR","EIFFAGE SA","Industrie","Aktien","8.169.660,00","0,08","8.169.660,00","75.645,00","108,00","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SN.","SMITH AND NEPHEW PLC","Gesundheitsversorgung","Aktien","8.145.629,48","0,08","8.145.629,48","676.676,00","12,04","Vereinigtes Königreich","London Stock Exchange","GBP"
"MAERSK B","A P MOLLER MAERSK B","Industrie","Aktien","8.127.182,79","0,08","8.127.182,79","2.674,00","3.039,33","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"URW","UNIBAIL RODAMCO WE STAPLED UNITS","Immobilien","Aktien","8.102.711,76","0,08","8.102.711,76","85.852,00","94,38","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"TELIA","TELIA COMPANY","Kommunikation","Aktien","7.794.671,29","0,07","7.794.671,29","1.835.123,00","4,25","Schweden","Nasdaq Omx Nordic","SEK"
"BVI","BUREAU VERITAS SA","Industrie","Aktien","7.795.195,83","0,07","7.795.195,83","282.537,00","27,59","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BNZL","BUNZL","Industrie","Aktien","7.775.201,02","0,07","7.775.201,02","253.538,00","30,67","Vereinigtes Königreich","London Stock Exchange","GBP"
"AGN","AEGON","Finanzwesen","Aktien","7.764.392,00","0,07","7.764.392,00","970.549,00","8,00","Niederlande","Euronext Amsterdam","EUR"
"SMIN","SMITHS GROUP PLC","Industrie","Aktien","7.650.621,54","0,07","7.650.621,54","258.085,00","29,64","Vereinigtes Königreich","London Stock Exchange","GBP"
"MONC","MONCLER","Zyklische Konsumgüter ","Aktien","7.623.379,02","0,07","7.623.379,02","173.298,00","43,99","Italien","Borsa Italiana","EUR"
"G1A","GEA GROUP AG","Industrie","Aktien","7.543.813,50","0,07","7.543.813,50","115.614,00","65,25","Deutschland","Xetra","EUR"
"PZU","PZU SA","Finanzwesen","Aktien","7.484.592,25","0,07","7.484.592,25","441.156,00","16,97","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"AKZA","AKZO NOBEL","Materialien","Aktien","7.475.571,50","0,07","7.475.571,50","132.311,00","56,50","Niederlande","Euronext Amsterdam","EUR"
"SOBI","SWEDISH ORPHAN BIOVITRUM","Gesundheitsversorgung","Aktien","7.439.893,16","0,07","7.439.893,16","188.165,00","39,54","Schweden","Nasdaq Omx Nordic","SEK"
"AC","ACCOR SA","Zyklische Konsumgüter ","Aktien","7.333.816,50","0,07","7.333.816,50","160.302,00","45,75","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"RTO","RENTOKIL INITIAL PLC","Industrie","Aktien","7.325.999,25","0,07","7.325.999,25","1.931.920,00","3,79","Vereinigtes Königreich","London Stock Exchange","GBP"
"IMI","IMI PLC","Industrie","Aktien","7.192.932,42","0,07","7.192.932,42","201.022,00","35,78","Vereinigtes Königreich","London Stock Exchange","GBP"
"ORNBV","ORION CLASS B","Gesundheitsversorgung","Aktien","7.173.524,05","0,07","7.173.524,05","87.857,00","81,65","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"STLAM","STELLANTIS","Zyklische Konsumgüter ","Aktien","7.145.319,93","0,07","7.145.319,93","1.610.939,00","4,44","Italien","Borsa Italiana","EUR"
"SVT","SEVERN TRENT PLC","Versorger","Aktien","7.133.619,56","0,07","7.133.619,56","199.494,00","35,76","Vereinigtes Königreich","London Stock Exchange","GBP"
"BEZ","BEAZLEY PLC","Finanzwesen","Aktien","7.114.717,86","0,07","7.114.717,86","468.979,00","15,17","Vereinigtes Königreich","London Stock Exchange","GBP"
"SDLF","STANDARD LIFE PLC","Finanzwesen","Aktien","7.070.556,57","0,07","7.070.556,57","639.221,00","11,06","Vereinigtes Königreich","London Stock Exchange","GBP"
"LISP","CHOCOLADEFABRIKEN LINDT & SPRUENGL","Nichtzyklische Konsumgüter","Aktien","7.054.753,20","0,07","7.054.753,20","769,00","9.173,92","Schweiz","SIX Swiss Exchange","CHF"
"MNG","M&G PLC","Finanzwesen","Aktien","7.046.772,61","0,07","7.046.772,61","1.777.633,00","3,96","Vereinigtes Königreich","London Stock Exchange","GBP"
"ERF","EUROFINS SCIENTIFIC","Gesundheitsversorgung","Aktien","6.937.804,96","0,07","6.937.804,96","90.242,00","76,88","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"PSON","PEARSON PLC","Zyklische Konsumgüter ","Aktien","6.900.709,67","0,07","6.900.709,67","493.235,00","13,99","Vereinigtes Königreich","London Stock Exchange","GBP"
"GALP","GALP ENERGIA SGPS SA CLASS B","Energie","Aktien","6.838.564,95","0,07","6.838.564,95","310.139,00","22,05","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"ORSTED","ORSTED A/S","Versorger","Aktien","6.768.530,23","0,06","6.768.530,23","372.173,00","18,19","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"INDU C","INDUSTRIVARDEN SERIES","Finanzwesen","Aktien","6.651.462,87","0,06","6.651.462,87","139.188,00","47,79","Schweden","Nasdaq Omx Nordic","SEK"
"MKS","MARKS AND SPENCER GROUP PLC","Nichtzyklische Konsumgüter","Aktien","6.621.226,51","0,06","6.621.226,51","1.560.457,00","4,24","Vereinigtes Königreich","London Stock Exchange","GBP"
"COLO B","COLOPLAST B","Gesundheitsversorgung","Aktien","6.598.520,37","0,06","6.598.520,37","117.415,00","56,20","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"MICC","MAGNUM ICE CREAM","Nichtzyklische Konsumgüter","Aktien","6.596.043,20","0,06","6.596.043,20","397.352,00","16,60","Niederlande","Euronext Amsterdam","EUR"
"WEIR","WEIR PLC","Industrie","Aktien","6.576.287,00","0,06","6.576.287,00","211.398,00","31,11","Vereinigtes Königreich","London Stock Exchange","GBP"
"WISE","WISE PLC CLASS A","Finanzwesen","Aktien","6.569.128,95","0,06","6.569.128,95","644.339,00","10,20","Vereinigtes Königreich","London Stock Exchange","GBP"
"CNA","CENTRICA PLC","Versorger","Aktien","6.562.340,13","0,06","6.562.340,13","3.701.648,00","1,77","Vereinigtes Königreich","London Stock Exchange","GBP"
"TEL2 B","TELE2 B","Kommunikation","Aktien","6.557.228,46","0,06","6.557.228,46","426.736,00","15,37","Schweden","Nasdaq Omx Nordic","SEK"
"GTT","GAZTRANSPORT & TECHNIGAZ SA","Energie","Aktien","6.534.195,00","0,06","6.534.195,00","28.785,00","227,00","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"TEL","TELENOR","Kommunikation","Aktien","6.523.385,32","0,06","6.523.385,32","518.208,00","12,59","Norwegen","Oslo Bors Asa","NOK"
"SKA B","SKANSKA B","Industrie","Aktien","6.455.873,39","0,06","6.455.873,39","268.595,00","24,04","Schweden","Nasdaq Omx Nordic","SEK"
"LI","KLEPIERRE REIT SA","Immobilien","Aktien","6.451.474,64","0,06","6.451.474,64","174.742,00","36,92","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SKF B","SKF B","Industrie","Aktien","6.430.599,31","0,06","6.430.599,31","263.269,00","24,43","Schweden","Nasdaq Omx Nordic","SEK"
"RBI","RAIFFEISEN BANK INTERNATIONAL AG","Finanzwesen","Aktien","6.399.689,05","0,06","6.399.689,05","104.999,00","60,95","Österreich","Wiener Boerse Ag","EUR"
"MOWI","MOWI","Nichtzyklische Konsumgüter","Aktien","6.368.836,95","0,06","6.368.836,95","339.782,00","18,74","Norwegen","Oslo Bors Asa","NOK"
"RXL","REXEL SA","Industrie","Aktien","6.265.001,16","0,06","6.265.001,16","173.162,00","36,18","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"CON","CONTINENTAL AG","Zyklische Konsumgüter ","Aktien","6.210.123,12","0,06","6.210.123,12","87.788,00","70,74","Deutschland","Xetra","EUR"
"QIA","QIAGEN","Gesundheitsversorgung","Aktien","6.209.189,59","0,06","6.209.189,59","160.839,00","38,60","Deutschland","Deutsche Börse AG","EUR"
"BEAN","BELIMO N AG","Industrie","Aktien","6.150.264,87","0,06","6.150.264,87","7.470,00","823,33","Schweiz","SIX Swiss Exchange","CHF"
"TREL B","TRELLEBORG B","Industrie","Aktien","6.123.362,94","0,06","6.123.362,94","152.474,00","40,16","Schweden","Nasdaq Omx Nordic","SEK"
"PNDORA","PANDORA","Zyklische Konsumgüter ","Aktien","6.114.488,27","0,06","6.114.488,27","56.583,00","108,06","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"HSX","HISCOX LTD","Finanzwesen","Aktien","6.099.225,40","0,06","6.099.225,40","270.864,00","22,52","Vereinigtes Königreich","London Stock Exchange","GBP"
"STB","STOREBRAND","Finanzwesen","Aktien","6.024.995,89","0,06","6.024.995,89","323.994,00","18,60","Norwegen","Oslo Bors Asa","NOK"
"HEIO","HEINEKEN HOLDING NV","Nichtzyklische Konsumgüter","Aktien","6.016.386,75","0,06","6.016.386,75","89.463,00","67,25","Niederlande","Euronext Amsterdam","EUR"
"TEN","TENARIS SA","Energie","Aktien","5.996.150,91","0,06","5.996.150,91","244.641,00","24,51","Italien","Borsa Italiana","EUR"
"FME","FRESENIUS MEDICAL CARE AG","Gesundheitsversorgung","Aktien","5.903.001,00","0,06","5.903.001,00","151.359,00","39,00","Deutschland","Xetra","EUR"
"ACLN","ACCELLERON N AG","Industrie","Aktien","5.887.961,57","0,06","5.887.961,57","75.334,00","78,16","Schweiz","SIX Swiss Exchange","CHF"
"TLX","TALANX AG","Finanzwesen","Aktien","5.830.980,00","0,06","5.830.980,00","47.100,00","123,80","Deutschland","Xetra","EUR"
"SPIE","SPIE SA","Industrie","Aktien","5.826.531,32","0,06","5.826.531,32","132.061,00","44,12","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"TKA","THYSSENKRUPP AG","Materialien","Aktien","5.796.653,73","0,06","5.796.653,73","371.938,00","15,59","Deutschland","Xetra","EUR"
"ADDT B","ADDTECH CLASS B","Industrie","Aktien","5.788.184,68","0,06","5.788.184,68","197.761,00","29,27","Schweden","Nasdaq Omx Nordic","SEK"
"BNR","BRENNTAG","Industrie","Aktien","5.779.907,06","0,06","5.779.907,06","95.033,00","60,82","Deutschland","Xetra","EUR"
"EBP","ERSTE BANK POLSKA SA","Finanzwesen","Aktien","5.708.247,18","0,05","5.708.247,18","32.837,00","173,84","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"EXO","EXOR NV","Finanzwesen","Aktien","5.653.809,00","0,05","5.653.809,00","79.185,00","71,40","Niederlande","Euronext Amsterdam","EUR"
"DHER","DELIVERY HERO","Zyklische Konsumgüter ","Aktien","5.580.755,18","0,05","5.580.755,18","152.438,00","36,61","Deutschland","Xetra","EUR"
"EDEN","EDENRED","Finanzwesen","Aktien","5.501.088,32","0,05","5.501.088,32","188.911,00","29,12","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"HOT","HOCHTIEF AG","Industrie","Aktien","5.487.321,60","0,05","5.487.321,60","13.984,00","392,40","Deutschland","Xetra","EUR"
"SDR","SCHRODERS PLC","Finanzwesen","Aktien","5.451.938,02","0,05","5.451.938,02","798.269,00","6,83","Vereinigtes Königreich","London Stock Exchange","GBP"
"PSPN","PSP SWISS PROPERTY AG","Immobilien","Aktien","5.452.090,23","0,05","5.452.090,23","34.808,00","156,63","Schweiz","SIX Swiss Exchange","CHF"
"YAR","YARA INTERNATIONAL","Materialien","Aktien","5.395.323,46","0,05","5.395.323,46","126.709,00","42,58","Norwegen","Oslo Bors Asa","NOK"
"LTMC","LOTTOMATICA GROUP","Zyklische Konsumgüter ","Aktien","5.383.257,46","0,05","5.383.257,46","195.187,00","27,58","Italien","Borsa Italiana","EUR"
"NKT","NKT","Industrie","Aktien","5.381.036,86","0,05","5.381.036,86","43.183,00","124,61","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SBRY","SAINSBURY(J) PLC","Nichtzyklische Konsumgüter","Aktien","5.365.350,15","0,05","5.365.350,15","1.359.454,00","3,95","Vereinigtes Königreich","London Stock Exchange","GBP"
