Fondsposition per,"17.Sept.2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"GSK","GLAXOSMITHKLINE","Gesundheitsversorgung","Aktien","70.206.840,50","0,67","70.206.840,50","3.178.572,00","22,09","Vereinigtes Königreich","London Stock Exchange","GBP"
"SAN","SANOFI SA","Gesundheitsversorgung","Aktien","66.575.221,78","0,63","66.575.221,78","884.603,00","75,26","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"CS","AXA SA","Finanzwesen","Aktien","62.281.661,64","0,59","62.281.661,64","1.382.194,00","45,06","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BARC","BARCLAYS PLC","Finanzwesen","Aktien","59.976.595,01","0,57","59.976.595,01","10.774.287,00","5,57","Vereinigtes Königreich","London Stock Exchange","GBP"
"LLOY","LLOYDS BANKING GROUP PLC","Finanzwesen","Aktien","59.645.464,38","0,57","59.645.464,38","45.728.904,00","1,30","Vereinigtes Königreich","London Stock Exchange","GBP"
"BA.","BAE SYSTEMS PLC","Industrie","Aktien","58.286.791,11","0,56","58.286.791,11","2.454.189,00","23,75","Vereinigtes Königreich","London Stock Exchange","GBP"
"IFX","INFINEON TECHNOLOGIES AG","IT","Aktien","55.594.515,20","0,53","55.594.515,20","1.021.958,00","54,40","Deutschland","Xetra","EUR"
"ENEL","ENEL","Versorger","Aktien","55.343.293,05","0,53","55.343.293,05","6.115.281,00","9,05","Italien","Borsa Italiana","EUR"
"ABI","ANHEUSER-BUSCH INBEV SA","Nichtzyklische Konsumgüter","Aktien","55.118.790,60","0,53","55.118.790,60","802.545,00","68,68","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"NG.","NATIONAL GRID PLC","Versorger","Aktien","54.606.947,44","0,52","54.606.947,44","4.058.197,00","13,46","Vereinigtes Königreich","London Stock Exchange","GBP"
"NWG","NATWEST GROUP PLC","Finanzwesen","Aktien","53.277.760,52","0,51","53.277.760,52","6.429.608,00","8,29","Vereinigtes Königreich","London Stock Exchange","GBP"
"DBK","DEUTSCHE BANK AG","Finanzwesen","Aktien","51.577.593,07","0,49","51.577.593,07","1.506.135,00","34,24","Deutschland","Xetra","EUR"
"DG","VINCI SA","Industrie","Aktien","51.383.048,00","0,49","51.383.048,00","455.120,00","112,90","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"INVE B","INVESTOR CLASS B","Finanzwesen","Aktien","51.350.589,01","0,49","51.350.589,01","1.425.513,00","36,02","Schweden","Nasdaq Omx Nordic","SEK"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Finanzwesen","Aktien","51.007.918,80","0,49","51.007.918,80","99.898,00","510,60","Deutschland","Xetra","EUR"
"GLEN","GLENCORE PLC","Materialien","Aktien","50.076.109,44","0,48","50.076.109,44","7.424.361,00","6,74","Vereinigtes Königreich","London Stock Exchange","GBP"
"NDA FI","NORDEA BANK","Finanzwesen","Aktien","47.740.884,42","0,46","47.740.884,42","2.671.566,00","17,87","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"ITX","INDUSTRIA DE DISENO TEXTIL SA","Zyklische Konsumgüter ","Aktien","45.619.649,60","0,43","45.619.649,60","870.604,00","52,40","Spanien","Bolsa De Madrid","EUR"
"GLE","SOCIETE GENERALE SA","Finanzwesen","Aktien","43.483.271,04","0,41","43.483.271,04","586.344,00","74,16","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"REL","RELX PLC","Industrie","Aktien","42.880.535,75","0,41","42.880.535,75","1.435.269,00","29,88","Vereinigtes Königreich","London Stock Exchange","GBP"
"ARGX","ARGENX","Gesundheitsversorgung","Aktien","42.365.344,00","0,40","42.365.344,00","48.808,00","868,00","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"DHL","DHL AG","Industrie","Aktien","42.069.052,50","0,40","42.069.052,50","744.585,00","56,50","Deutschland","Xetra","EUR"
"DB1","DEUTSCHE BOERSE AG","Finanzwesen","Aktien","40.944.533,00","0,39","40.944.533,00","146.335,00","279,80","Deutschland","Xetra","EUR"
"AAL","ANGLO AMERICAN PLC","Materialien","Aktien","40.642.728,22","0,39","40.642.728,22","862.606,00","47,12","Vereinigtes Königreich","London Stock Exchange","GBP"
"NOKIA","NOKIA","IT","Aktien","39.388.794,00","0,38","39.388.794,00","4.258.248,00","9,25","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"G","ASSICURAZIONI GENERALI","Finanzwesen","Aktien","39.342.471,07","0,38","39.342.471,07","851.753,00","46,19","Italien","Borsa Italiana","EUR"
"EUR","EUR CASH","Cash und/oder Derivate","Geldmarkt","38.779.812,99","0,37","38.779.812,99","38.779.813,00","100,00","Europäische Union","-","EUR"
"STAN","STANDARD CHARTERED PLC","Finanzwesen","Aktien","38.577.864,81","0,37","38.577.864,81","1.419.384,00","27,18","Vereinigtes Königreich","London Stock Exchange","GBP"
"ENI","ENI","Energie","Aktien","38.405.627,04","0,37","38.405.627,04","1.594.256,00","24,09","Italien","Borsa Italiana","EUR"
"RMS","HERMES INTERNATIONAL","Zyklische Konsumgüter ","Aktien","37.859.250,00","0,36","37.859.250,00","27.534,00","1.375,00","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BAYN","BAYER AG","Gesundheitsversorgung","Aktien","37.641.534,72","0,36","37.641.534,72","767.568,00","49,04","Deutschland","Xetra","EUR"
"CPG","COMPASS GROUP PLC","Zyklische Konsumgüter ","Aktien","37.605.114,92","0,36","37.605.114,92","1.388.850,00","27,08","Vereinigtes Königreich","London Stock Exchange","USD"
"VOLV B","VOLVO CLASS B","Industrie","Aktien","37.515.589,06","0,36","37.515.589,06","1.252.173,00","29,96","Schweden","Nasdaq Omx Nordic","SEK"
"RHM","RHEINMETALL AG","Industrie","Aktien","37.229.503,20","0,35","37.229.503,20","36.636,00","1.016,20","Deutschland","Xetra","EUR"
"ENGI","ENGIE SA","Versorger","Aktien","37.075.582,50","0,35","37.075.582,50","1.528.890,00","24,25","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BAS","BASF N","Materialien","Aktien","36.840.828,64","0,35","36.840.828,64","703.472,00","52,37","Deutschland","Xetra","EUR"
"LSEG","LONDON STOCK EXCHANGE GROUP PLC","Finanzwesen","Aktien","36.298.638,26","0,35","36.298.638,26","377.930,00","96,05","Vereinigtes Königreich","London Stock Exchange","GBP"
"CABK","CAIXABANK SA","Finanzwesen","Aktien","35.891.719,20","0,34","35.891.719,20","2.759.840,00","13,01","Spanien","Bolsa De Madrid","EUR"
"ATCO A","ATLAS COPCO CLASS A","Industrie","Aktien","35.820.174,67","0,34","35.820.174,67","2.027.961,00","17,66","Schweden","Nasdaq Omx Nordic","SEK"
"PRX","PROSUS NV CLASS N","Zyklische Konsumgüter ","Aktien","35.625.938,64","0,34","35.625.938,64","995.416,00","35,79","Niederlande","Euronext Amsterdam","EUR"
"EL","ESSILORLUXOTTICA SA","Gesundheitsversorgung","Aktien","34.766.995,50","0,33","34.766.995,50","245.790,00","141,45","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SREN","SWISS RE AG","Finanzwesen","Aktien","34.037.283,89","0,32","34.037.283,89","230.858,00","147,44","Schweiz","SIX Swiss Exchange","CHF"
"RACE","FERRARI","Zyklische Konsumgüter ","Aktien","33.991.935,80","0,32","33.991.935,80","94.606,00","359,30","Italien","Borsa Italiana","EUR"
"DGE","DIAGEO PLC","Nichtzyklische Konsumgüter","Aktien","33.190.598,53","0,32","33.190.598,53","1.755.904,00","18,90","Vereinigtes Königreich","London Stock Exchange","GBP"
"LONN","LONZA GROUP AG","Gesundheitsversorgung","Aktien","31.687.049,51","0,30","31.687.049,51","55.011,00","576,01","Schweiz","SIX Swiss Exchange","CHF"
"EOAN","E.ON N","Versorger","Aktien","31.254.795,67","0,30","31.254.795,67","1.758.357,00","17,77","Deutschland","Xetra","EUR"
"BN","DANONE SA","Nichtzyklische Konsumgüter","Aktien","30.968.481,06","0,30","30.968.481,06","504.537,00","61,38","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"RWE","RWE AG","Versorger","Aktien","30.682.813,00","0,29","30.682.813,00","506.150,00","60,62","Deutschland","Xetra","EUR"
"ASM","ASM INTERNATIONAL NV","IT","Aktien","30.595.261,20","0,29","30.595.261,20","38.689,00","790,80","Niederlande","Euronext Amsterdam","EUR"
"HOLN","HOLCIM LTD AG","Materialien","Aktien","30.236.627,33","0,29","30.236.627,33","419.236,00","72,12","Schweiz","SIX Swiss Exchange","CHF"
"RKT","RECKITT BENCKISER GROUP PLC","Nichtzyklische Konsumgüter","Aktien","29.515.617,74","0,28","29.515.617,74","507.186,00","58,20","Vereinigtes Königreich","London Stock Exchange","GBP"
"EBS","ERSTE GROUP BANK AG","Finanzwesen","Aktien","28.868.227,50","0,28","28.868.227,50","235.659,00","122,50","Österreich","Wiener Boerse Ag","EUR"
"LR","LEGRAND SA","Industrie","Aktien","28.273.799,40","0,27","28.273.799,40","207.438,00","136,30","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"TSCO","TESCO PLC","Nichtzyklische Konsumgüter","Aktien","28.249.518,53","0,27","28.249.518,53","5.048.954,00","5,60","Vereinigtes Königreich","London Stock Exchange","GBP"
"PRY","PRYSMIAN","Industrie","Aktien","28.098.717,00","0,27","28.098.717,00","230.980,00","121,65","Italien","Borsa Italiana","EUR"
"HLN","HALEON PLC","Gesundheitsversorgung","Aktien","27.687.664,46","0,26","27.687.664,46","7.011.275,00","3,95","Vereinigtes Königreich","London Stock Exchange","GBP"
"SSE","SSE PLC","Versorger","Aktien","27.590.090,09","0,26","27.590.090,09","954.297,00","28,91","Vereinigtes Königreich","London Stock Exchange","GBP"
"SAND","SANDVIK","Industrie","Aktien","27.585.486,23","0,26","27.585.486,23","833.619,00","33,09","Schweden","Nasdaq Omx Nordic","SEK"
"SGO","COMPAGNIE DE SAINT GOBAIN SA","Industrie","Aktien","27.288.403,00","0,26","27.288.403,00","387.950,00","70,34","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DSV","DSV","Industrie","Aktien","27.012.415,39","0,26","27.012.415,39","153.966,00","175,44","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"REP","REPSOL","Energie","Aktien","26.097.377,28","0,25","26.097.377,28","876.928,00","29,76","Spanien","Bolsa De Madrid","EUR"
"EQNR","EQUINOR","Energie","Aktien","25.878.105,87","0,25","25.878.105,87","672.565,00","38,48","Norwegen","Oslo Bors Asa","NOK"
"SWED A","SWEDBANK","Finanzwesen","Aktien","25.839.111,84","0,25","25.839.111,84","716.158,00","36,08","Schweden","Nasdaq Omx Nordic","SEK"
"MBG","MERCEDES-BENZ GROUP N AG","Zyklische Konsumgüter ","Aktien","25.839.358,03","0,25","25.839.358,03","559.354,00","46,20","Deutschland","Xetra","EUR"
"DANSKE","DANSKE BANK","Finanzwesen","Aktien","25.274.502,04","0,24","25.274.502,04","502.754,00","50,27","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SEB A","SKANDINAVISKA ENSKILDA BANKEN","Finanzwesen","Aktien","25.037.579,31","0,24","25.037.579,31","1.224.711,00","20,44","Schweden","Nasdaq Omx Nordic","SEK"
"SDZ","SANDOZ GROUP AG","Gesundheitsversorgung","Aktien","24.989.410,19","0,24","24.989.410,19","348.320,00","71,74","Schweiz","SIX Swiss Exchange","CHF"
"SIKA","SIKA AG","Materialien","Aktien","24.843.825,07","0,24","24.843.825,07","127.267,00","195,21","Schweiz","SIX Swiss Exchange","CHF"
"GALD","GALDERMA GROUP N AG","Gesundheitsversorgung","Aktien","24.762.596,57","0,24","24.762.596,57","148.428,00","166,83","Schweiz","SIX Swiss Exchange","CHF"
"ORA","ORANGE SA","Kommunikation","Aktien","24.538.021,20","0,23","24.538.021,20","1.537.470,00","15,96","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ASSA B","ASSA ABLOY B","Industrie","Aktien","24.043.154,99","0,23","24.043.154,99","783.253,00","30,70","Schweden","Nasdaq Omx Nordic","SEK"
"III","3I GROUP PLC","Finanzwesen","Aktien","23.671.734,63","0,23","23.671.734,63","750.009,00","31,56","Vereinigtes Königreich","London Stock Exchange","GBP"
"PRU","PRUDENTIAL PLC","Finanzwesen","Aktien","22.980.451,37","0,22","22.980.451,37","1.989.142,00","11,55","Vereinigtes Königreich","London Stock Exchange","GBP"
"VOD","VODAFONE GROUP PLC","Kommunikation","Aktien","22.940.940,29","0,22","22.940.940,29","14.978.448,00","1,53","Vereinigtes Königreich","London Stock Exchange","GBP"
"EXPN","EXPERIAN PLC","Industrie","Aktien","22.889.072,66","0,22","22.889.072,66","703.196,00","32,55","Vereinigtes Königreich","London Stock Exchange","GBP"
"KBC","KBC GROEP","Finanzwesen","Aktien","22.844.750,00","0,22","22.844.750,00","171.250,00","133,40","Belgien","Nyse Euronext - Euronext Brussels","EUR"
