Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"SRU.UN","SMARTCENTRES RL ESTATE INVESTMENT","Real Estate","Equity","22,789,667.55","0.07","22,789,667.55","855,147.00","26.65","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DML","DENISON MINES CORP","Energy","Equity","22,601,016.90","0.07","22,601,016.90","5,580,498.00","4.05","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NGEX","NGEX MINERALS","Materials","Equity","22,170,674.26","0.07","22,170,674.26","887,537.00","24.98","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EQB","EQB","Financials","Equity","21,571,970.21","0.06","21,571,970.21","172,039.00","125.39","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PBH","PREMIUM BRANDS HOLDINGS","Consumer Staples","Equity","21,454,150.08","0.06","21,454,150.08","282,887.00","75.84","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TFPM","TRIPLE FLAG PRECIOUS METALS","Materials","Equity","21,369,114.45","0.06","21,369,114.45","464,445.00","46.01","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ARE","AECON GROUP","Industrials","Equity","21,166,764.32","0.06","21,166,764.32","454,808.00","46.54","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SXGC","SOUTHERN CROSS GOLD CONSOLIDATED L","Materials","Equity","21,048,853.28","0.06","21,048,853.28","1,714,076.00","12.28","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BYD","BOYD GROUP SERVICES INC","Industrials","Equity","20,897,694.16","0.06","20,897,694.16","184,072.00","113.53","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DOO","BRP SUBORDINATE VOTING","Consumer Discretionary","Equity","20,842,264.52","0.06","20,842,264.52","253,309.00","82.28","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"HWX","HEADWATER EXPLORATION INC","Energy","Equity","20,405,639.46","0.06","20,405,639.46","1,475,462.00","13.83","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ALS","ALTIUS MINERALS CORP","Materials","Equity","20,282,736.32","0.06","20,282,736.32","298,144.00","68.03","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NG","NOVAGOLD RESOURCES INC","Materials","Equity","19,877,358.72","0.06","19,877,358.72","1,907,616.00","10.42","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BDGI","BADGER INFRASTRUCTURE SOLUTIONS LT","Industrials","Equity","19,341,603.46","0.06","19,341,603.46","223,499.00","86.54","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AAUC","ALLIED GOLD","Materials","Equity","18,929,425.84","0.06","18,929,425.84","629,512.00","30.07","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PXT","PAREX RESOURCES","Energy","Equity","18,267,839.52","0.05","18,267,839.52","640,752.00","28.51","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"VET","VERMILION ENERGY","Energy","Equity","17,825,717.14","0.05","17,825,717.14","1,006,534.00","17.71","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PPTA","PERPETUA RESOURCES","Materials","Equity","16,998,620.07","0.05","16,998,620.07","519,359.00","32.73","United States","Toronto Stock Exchange","CAD","1.00","CAD"
"HR.UN","HANDR REAL ESTATE INVESTMENT TRUST","Real Estate","Equity","16,960,473.60","0.05","16,960,473.60","1,766,716.00","9.60","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"POU","PARAMOUNT RESOURCE LTD CLASS A","Energy","Equity","16,857,267.38","0.05","16,857,267.38","507,902.00","33.19","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PMZ.UN","PRIMARIS REAL ESTATE INVESTMENT UN","Real Estate","Equity","16,408,554.89","0.05","16,408,554.89","783,973.00","20.93","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NWC","NORTH WEST COMPANY INC","Consumer Staples","Equity","16,268,279.99","0.05","16,268,279.99","312,311.00","52.09","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CURA","CURALEAF HLDGS","Health Care","Equity","16,046,432.94","0.05","16,046,432.94","1,116,662.00","14.37","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FRU","FREEHOLD ROYALTIES","Energy","Equity","15,913,206.06","0.05","15,913,206.06","903,646.00","17.61","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BEI.UN","BOARDWALK REAL ESTATE INVESTMENT T","Real Estate","Equity","15,887,056.71","0.05","15,887,056.71","258,789.00","61.39","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BBUC","BROOKFIELD BUSINESS CORP CLASS A","Industrials","Equity","15,809,346.56","0.05","15,809,346.56","441,109.00","35.84","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SDE","SPARTAN DELTA","Energy","Equity","15,572,735.09","0.05","15,572,735.09","1,191,487.00","13.07","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IPCO","INTERNATIONAL PETROLEUM","Energy","Equity","15,437,432.34","0.05","15,437,432.34","432,058.00","35.73","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"VNP","5N PLUS","Materials","Equity","15,240,821.95","0.04","15,240,821.95","597,445.00","25.51","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EXE","EXTENDICARE","Health Care","Equity","15,112,412.90","0.04","15,112,412.90","494,678.00","30.55","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MTL","MULLEN GROUP","Industrials","Equity","14,870,886.50","0.04","14,870,886.50","588,946.00","25.25","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NFI","NFI GROUP","Industrials","Equity","14,775,642.52","0.04","14,775,642.52","623,708.00","23.69","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ATS","ATS","Industrials","Equity","14,760,587.52","0.04","14,760,587.52","549,129.00","26.88","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ABRA","ABRASILVER RESOURCE CORP","Materials","Equity","14,253,007.89","0.04","14,253,007.89","1,056,561.00","13.49","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SIA","SIENNA SENIOR LIVING INC","Health Care","Equity","14,165,423.67","0.04","14,165,423.67","704,397.00","20.11","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BHC","BAUSCH HEALTH COMPANIES","Health Care","Equity","14,036,180.40","0.04","14,036,180.40","1,772,245.00","7.92","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IAU","I GOLD CORP","Materials","Equity","13,997,683.00","0.04","13,997,683.00","5,713,340.00","2.45","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"HPS.A","HAMMOND POWER SOLUTIONS CLASS A","Industrials","Equity","13,746,601.80","0.04","13,746,601.80","57,206.00","240.30","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"KMP.UN","KILLAM APARTMENT REIT UNITS CLASS","Real Estate","Equity","13,714,725.82","0.04","13,714,725.82","801,562.00","17.11","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TSU","TRISURA GROUP","Financials","Equity","13,522,891.00","0.04","13,522,891.00","312,668.00","43.25","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MFI","MAPLE LEAF FOODS","Consumer Staples","Equity","12,835,550.34","0.04","12,835,550.34","491,031.00","26.14","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"VZLA","VIZSLA SILVER","Materials","Equity","12,805,980.07","0.04","12,805,980.07","2,290,873.00","5.59","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"KEL","KELT EXPLORATION","Energy","Equity","12,634,673.76","0.04","12,634,673.76","1,129,104.00","11.19","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"JWEL","JAMIESON WELLNESS","Consumer Staples","Equity","12,549,500.58","0.04","12,549,500.58","276,299.00","45.42","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SCR","STRATHCONA RESOURCES LTD","Energy","Equity","12,152,712.74","0.04","12,152,712.74","283,214.00","42.91","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"RCH","RICHELIEU HARDWARE","Industrials","Equity","12,050,135.10","0.04","12,050,135.10","336,690.00","35.79","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LB","LAURENTIAN BANK OF CANADA","Financials","Equity","11,951,661.96","0.04","11,951,661.96","293,797.00","40.68","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CCA","COGECO COMMUNICATIONS SUBORDINATE","Communication","Equity","11,612,593.44","0.03","11,612,593.44","199,632.00","58.17","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BIR","BIRCHCLIFF ENERGY","Energy","Equity","11,583,368.37","0.03","11,583,368.37","1,841,553.00","6.29","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CRR.UN","CROMBIE REAL ESTATE INVESTMENT TRU","Real Estate","Equity","11,505,380.04","0.03","11,505,380.04","741,804.00","15.51","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TVK","TERRAVEST INDUSTRIES INC","Energy","Equity","11,499,158.64","0.03","11,499,158.64","99,672.00","115.37","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AAV","ADVANTAGE ENERGY","Energy","Equity","11,308,523.52","0.03","11,308,523.52","1,104,348.00","10.24","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LSPD","LIGHTSPEED COMMERCE","Information Technology","Equity","11,220,215.40","0.03","11,220,215.40","844,260.00","13.29","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LIF","LABRADOR IRON ORE ROYALTY","Materials","Equity","10,929,741.90","0.03","10,929,741.90","422,814.00","25.85","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"USD","USD CASH","Cash and/or Derivatives","Cash","10,854,770.77","0.03","10,854,770.77","7,760,891.00","139.86","United States","-","CAD","0.71","USD"
"AIF","ALTUS GROUP","Real Estate","Equity","10,764,867.26","0.03","10,764,867.26","239,113.00","45.02","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SPB","SUPERIOR PLUS","Utilities","Equity","10,310,495.85","0.03","10,310,495.85","1,438,005.00","7.17","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"USA","AMERICAS GOLD AND SILVER","Materials","Equity","9,938,138.08","0.03","9,938,138.08","1,401,712.00","7.09","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ASM","AVINO SILVER AND GOLD MINES LTD","Materials","Equity","9,277,250.40","0.03","9,277,250.40","1,054,233.00","8.80","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AP.UN","ALLIED PROPERTIES REAL ESTATE INVT","Real Estate","Equity","8,630,268.35","0.03","8,630,268.35","1,107,865.00","7.79","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CRT.UN","CT REIT UNITS TRUST","Real Estate","Equity","8,414,692.78","0.02","8,414,692.78","500,279.00","16.82","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LAC","LITHIUM AMERICAS","Materials","Equity","8,113,527.00","0.02","8,113,527.00","2,003,340.00","4.05","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CJT","CARGOJET","Industrials","Equity","7,913,910.88","0.02","7,913,910.88","98,585.00","80.28","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MLPFT","CASH COLLATERAL CAD MLPFT","Cash and/or Derivatives","Cash Collateral and Margins","4,632,000.00","0.01","4,632,000.00","4,632,000.00","100.00","Canada","-","CAD","1.00","CAD"
"2299955D","CONSTELLATION SOFTWARE INC","Information Technology","Equity","0.61","0.00","0.61","60,915.00","0.00","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PTZ6","S&P/TSE 60 INDEX DEC 26","Cash and/or Derivatives","Futures","0.00","0.00","105,680,000.00","250.00","2,113.60","-","The Montreal Exchange / Bourse De Montreal","CAD","1.00","CAD"
 
