Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"PPL","PEMBINA PIPELINE","Energy","Equity","257,724,417.60","0.76","257,724,417.60","3,869,736.00","66.60","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"QSR","RESTAURANTS BRANDS INTERNATIONAL","Consumer Discretionary","Equity","234,783,191.56","0.69","234,783,191.56","2,311,976.00","101.55","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"L","LOBLAW COMPANIES LTD","Consumer Staples","Equity","233,287,906.02","0.68","233,287,906.02","3,715,959.00","62.78","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FM","FIRST QUANTUM MINERALS","Materials","Equity","197,970,255.28","0.58","197,970,255.28","4,503,418.00","43.96","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PAAS","PAN AMERICAN SILVER","Materials","Equity","195,134,394.76","0.57","195,134,394.76","2,809,306.00","69.46","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BCE","BCE INC","Communication","Equity","193,939,699.20","0.57","193,939,699.20","6,216,016.00","31.20","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IMO","IMPERIAL OIL LTD","Energy","Equity","182,496,970.64","0.54","182,496,970.64","1,000,093.00","182.48","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BBD.B","BOMBARDIER CLASS B","Industrials","Equity","179,134,882.68","0.53","179,134,882.68","587,366.00","304.98","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GWO","GREAT WEST LIFECO INC","Financials","Equity","163,944,341.55","0.48","163,944,341.55","1,751,355.00","93.61","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WSP","WSP GLOBAL INC","Industrials","Equity","162,302,726.46","0.48","162,302,726.46","898,338.00","180.67","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BAM","BROOKFIELD ASSET MANAGEMENT VOTING","Financials","Equity","159,808,208.84","0.47","159,808,208.84","2,514,289.00","63.56","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MG","MAGNA INTERNATIONAL","Consumer Discretionary","Equity","154,846,176.86","0.45","154,846,176.86","1,705,918.00","90.77","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BIP.UN","BROOKFIELD INFRASTRUCTURE PARTNERS","Utilities","Equity","153,018,399.66","0.45","153,018,399.66","3,049,998.00","50.17","Bermuda","Toronto Stock Exchange","CAD","1.00","CAD"
"WCP","WHITECAP RESOURCES INC","Energy","Equity","150,279,281.95","0.44","150,279,281.95","8,101,309.00","18.55","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LUN","LUNDIN MINING","Materials","Equity","149,894,553.16","0.44","149,894,553.16","4,512,178.00","33.22","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TOU","TOURMALINE OIL CORP","Energy","Equity","149,780,044.20","0.44","149,780,044.20","2,458,635.00","60.92","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"RBA","RB GLOBAL","Industrials","Equity","146,161,154.70","0.43","146,161,154.70","1,241,811.00","117.70","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EMA","EMERA INC","Utilities","Equity","140,840,523.00","0.41","140,840,523.00","2,041,167.00","69.00","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AGI","ALAMOS GOLD CLASS A","Materials","Equity","140,319,329.15","0.41","140,319,329.15","2,803,583.00","50.05","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GFL","GFL ENVIRONMENTAL SUBORDINATE VOTI","Industrials","Equity","132,839,770.36","0.39","132,839,770.36","2,196,788.00","60.47","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"T","TELUS","Communication","Equity","129,916,824.50","0.38","129,916,824.50","10,418,350.00","12.47","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IAG","IA FINANCIAL INC","Financials","Equity","127,925,527.04","0.38","127,925,527.04","598,454.00","213.76","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"RCI.B","ROGERS COMMUNICATIONS NON-VOTING I","Communication","Equity","126,830,769.78","0.37","126,830,769.78","2,579,434.00","49.17","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GIB.A","CGI INC CLASS A","Information Technology","Equity","124,657,096.12","0.37","124,657,096.12","1,251,326.00","99.62","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TRI","THOMSON REUTERS CORP","Industrials","Equity","121,777,288.54","0.36","121,777,288.54","874,774.00","139.21","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EQX","EQUINOX GOLD","Materials","Equity","120,472,161.02","0.35","120,472,161.02","7,049,278.00","17.09","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MRU","METRO","Consumer Staples","Equity","117,249,438.60","0.34","117,249,438.60","1,277,227.00","91.80","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TIH","TOROMONT INDUSTRIES LTD","Industrials","Equity","111,953,935.50","0.33","111,953,935.50","545,425.00","205.26","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ALA","ALTAGAS","Utilities","Equity","111,129,782.82","0.33","111,129,782.82","2,083,423.00","53.34","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"H","HYDRO ONE","Utilities","Equity","110,512,113.24","0.32","110,512,113.24","2,126,869.00","51.96","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"HBM","HUDBAY MINERALS","Materials","Equity","109,627,648.27","0.32","109,627,648.27","2,960,509.00","37.03","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IMG","IAMGOLD CORP","Materials","Equity","108,110,229.06","0.32","108,110,229.06","3,829,622.00","28.23","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","107,362,107.65","0.31","107,362,107.65","107,362,108.00","100.00","Canada","-","CAD","1.00","CAD"
"WN","GEORGE WESTON","Consumer Staples","Equity","105,022,336.98","0.31","105,022,336.98","1,035,519.00","101.42","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"KEY","KEYERA","Energy","Equity","101,526,206.68","0.30","101,526,206.68","1,887,806.00","53.78","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"X","TMX GROUP LTD","Financials","Equity","97,172,180.40","0.29","97,172,180.40","1,829,640.00","53.11","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ATRL","ATKINSREALIS GROUP INC","Industrials","Equity","94,513,392.00","0.28","94,513,392.00","1,078,920.00","87.60","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ELD","ELDORADO GOLD","Materials","Equity","93,317,031.75","0.27","93,317,031.75","1,574,971.00","59.25","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CCL.B","CCL INDUSTRIES CLASS B","Materials","Equity","91,214,208.00","0.27","91,214,208.00","950,148.00","96.00","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TFII","TFI INTERNATIONAL","Industrials","Equity","91,186,092.74","0.27","91,186,092.74","517,691.00","176.14","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
